CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
57010000,1,Dallas Botequim,,ChIJVVVVVY5PAQcR0QLrkbWlBIg,"R. Lourival Vieira Costa, 50 - Prado, Maceió - AL, 57010-020",Maceió,AL,+55 82 98189-8233,4.1,111,-9.6669334,-35.744416199999996,,
57010000,2,Bodega Do SC Restaurante e Espetaria,,ChIJIcxERjRPAQcRUbr2z4UTtGM,"Praça Afrânio Jorge, 66 - Prado, Maceió - AL, 57010-020",Maceió,AL,+55 82 99974-8345,5,2,-9.668508,-35.7440046,,
57010000,3,Kascão Prado,http://kascao.com/,ChIJSx7HNoZPAQcRw0D1Cg1OKlc,"Av. Siqueira Campos, 365 - Prado, Maceió - AL, 57010-015",Maceió,AL,+55 82 3325-7755,4.2,1229,-9.6677828,-35.7439418,,
57010000,4,Restaurante E Lanchonete Tempero Arretado,,ChIJTfzH3odPAQcR-6piQiP22I8,"Centro, Maceió - AL, 57020-301",Maceió,AL,,5,1,-9.6687453,-35.7423401,,
57010000,5,Barboza Lanchonete e Restaurante,https://www.colenn.com.br/dados_anunciante/barboza-lanchonete-e-restaurante/4012,ChIJix2XfxNPAQcRUh_MJG0LFdg,"R. Santos Pacheco, 120 - Centro, Maceió - AL, 57020-290",Maceió,AL,+55 82 99621-1228,4,4,-9.6669589,-35.7418441,,
57010000,6,Deusa Lanches,,ChIJS9OdBoZPAQcRrPAfenDt_Fk,"Tv. Calabar - Prado, Maceió - AL, 57010-360",Maceió,AL,+55 82 98876-2491,5,3,-9.6684769,-35.7457906,,
57010000,7,Bar e Restaurante Sol Nascente,,ChIJAUZ3kElFAQcRAK3MT4pBju0,"R. Agerson Dantas, 163 - Centro, Maceió - AL, 57020-310",Maceió,AL,+55 82 3222-2099,4.7,29,-9.6661813,-35.7394478,,
57010000,8,Restaurante Bom Sabor!,,ChIJ-SdfaktPAQcRr3TNuS8jIVg,"Rua Dr. Guedes Gondim - Centro, Maceió - AL, 57020-300",Maceió,AL,+55 82 3436-0896,4.7,7,-9.6654017,-35.7429091,,
57010000,9,RESTAURANTE DA ANA,,ChIJ6wyV3I5PAQcR2EKHdBWjkjo,"R. Álvaro Marinho, 820 - Prado, Maceió - AL, 57010-052",Maceió,AL,,5,1,-9.6712875,-35.7472693,,
57010000,10,Restaurante Presente De Deus,,ChIJ514YsYZPAQcRo0y3PiVKxY0,"R. Formosa, 825 - Levada, Maceió - AL, 57017-000",Maceió,AL,,5,1,-9.6643305,-35.7452038,,
57010000,11,Bare Comida Di Buteco Restaurante,,ChIJ6wK3N4dPAQcRQS5lHWXn3MI,"R. Dias Cabral, 24 - Centro, Maceió - AL, 57020-250",Maceió,AL,,5,1,-9.6647392,-35.7421666,,
57010000,12,Restaurante Shangai,,ChIJ6ah4IIRPAQcRLmdb867IImQ,"Av. Prof. Loureiro, 96 - Ponta Grossa, Maceió - AL, 57014-210",Maceió,AL,+55 82 3033-5199,4.5,325,-9.664743,-35.7503998,,
