CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
40110015,1,Bar e Restaurante Florbela Espanka,,ChIJMTQCEYYEFgcRJgExEbDxfYs,"Av. Treze de Maio, 5 - Canela, Salvador - BA, 40110-035",Salvador,BA,,5,3,-12.99104,-38.5226083,,
40110015,2,Bar e restaurante do Moqueca,,ChIJxaybvvoFFgcRuKhH2oaDPpk,"R. Luana Beatriz Calaça, 35 - Canela, Salvador - BA, 40110-080",Salvador,BA,,5,2,-12.990836499999999,-38.522543899999995,,
40110015,3,Restaurante Canela com Pimenta,,ChIJDf1U34UEFgcRpUi7-hPw0Hw,"R. Mal. Floriano, 50 - Canela, Salvador - BA, 40110-010",Salvador,BA,+55 71 3034-3598,4,290,-12.9918021,-38.5217125,,
40110015,4,Restaurante Caza - Restaurante no Corredor da Vitória,http://www.restaurantecaza.com.br/,ChIJ4UhCDmIFFgcRinKIYl3_8KY,"Av. Sete de Setembro, 1839 - loja 104 - Vitória, Salvador - BA, 40080-002",Salvador,BA,+55 71 3013-8539,4.8,40,-12.989966299999999,-38.5237062,,
40110015,5,O Patio Bar e Restaurante,,ChIJUzaMQYcEFgcRCzB4r1w9jKc,"Av. Sete de Setembro, 1809 - Vitória, Salvador - BA, 40080-001",Salvador,BA,,5,7,-12.9896798,-38.5236385,,
40110015,6,Marina Restaurante,,ChIJ85ewGu0EFgcRVuOKzMu2cXk,"Av. Sete de Setembro, 2068 - Vitória, Salvador - BA, 40080-004",Salvador,BA,+55 71 99112-6478,4.2,97,-12.9912726,-38.5255904,,
40110015,7,POINT DO ALÍRIO,,ChIJF9QQXsMFFgcRVswSeGGsQjU,"Av. Araújo Pinho, 84 - Canela, Salvador - BA, 40110-150",Salvador,BA,+55 71 99124-9414,,,-12.990836,-38.5209131,,
40110015,8,Mahi Mahi Bar e Restaurante,,ChIJ85ewGu0EFgcRxhisH4BzHwc,"Av. Sete de Setembro, 2068 - Vitória, Salvador - BA, 40301-110",Salvador,BA,+55 71 99121-8413,4.2,1372,-12.9911389,-38.525695299999995,,
40110015,9,Bar e Restaurante Butban,,ChIJ_YgP5Y4EFgcRfTsnohTmL3Y,"R. Forte de São Pedro, 35 - Garcia, Salvador - BA, 40080-016",Salvador,BA,+55 71 98543-6918,4.3,6,-12.987860099999999,-38.519936799999996,,
40110015,10,Gulash Restaurante,,ChIJF9_E8oUEFgcRDpp9xyRblKE,"R. João das Botas, 7 - Canela, Salvador - BA, 40110-160",Salvador,BA,+55 71 3245-6644,3.9,405,-12.9910832,-38.520593,,
40110015,11,Bar e Restaurante Cowboy,,ChIJtUtYGHEFFgcR38Z-7PvodEw,"Av. Leovigildo Filgueiras, 43 - Garcia, Salvador - BA, 40100-000",Salvador,BA,+55 71 99301-9316,4.7,7,-12.9915021,-38.5182625,,
40110015,12,Gugs Restaurante,,ChIJu1wMbY8EFgcRPOsy6NyNhiE,"Av. Leovigildo Filgueiras, 1 - Canela, Salvador - BA, 40100-000",Salvador,BA,+55 71 3328-6578,4.3,318,-12.989954599999999,-38.5199074,,
40110015,13,Restaurante Da Roça,,ChIJeW2Un5oEFgcReMFwa1EmUpY,"R. Pacífico Pereira, 25 - Garcia, Salvador - BA, 40100-170",Salvador,BA,+55 71 98818-1868,4.7,80,-12.9916393,-38.5152018,,
