CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
60010010,1,La Marine,,ChIJyVeU7rRJxwcRjNJhyRF5Oyg,"Av. Pres. Castelo Branco, 400 - Moura Brasil, Fortaleza - CE, 60312-060",Fortaleza,CE,+55 85 4006-9530,4.6,96,-3.7196382999999997,-38.530228099999995,,
60010010,2,Restaurante Porto Alimentações,,ChIJP9Qo8LJJxwcR3akgvuW11KI,"R. Sen. Pompeu, 676 - Centro, Fortaleza - CE, 60025-000",Fortaleza,CE,,5,1,-3.7246801,-38.5290199,,
60010010,3,Restaurante Sabor Caseiro,,ChIJaWiTzbNJxwcR_jgu0hkJ_30,"R. Sen. Alencar, 639 - Centro, Fortaleza - CE, 60030-050",Fortaleza,CE,,,,-3.7237525999999996,-38.5315681,,
60010010,4,Cantina Primu's,,ChIJQZ4JtrNJxwcRNjXry2_39AY,"Rua 24 de Maio, 219 - Centro, Fortaleza - CE, 60020-000",Fortaleza,CE,+55 85 98681-2014,4.2,123,-3.7237274,-38.5308841,,
60010010,5,Aconchego Bistrô Cearense,,ChIJCe9Me3pJxwcRIBDduBnToRM,"R. Dr. João Moreira, 143 - Centro, Fortaleza - CE, 60030-000",Fortaleza,CE,,4.7,666,-3.7233693,-38.5260045,,
60010010,6,Restaurante Delícias da Terra,,ChIJWc2SrbJJxwcRp75Db_p3c3k,"R. Major Facundo, 312 - Centro, Fortaleza - CE, 60025-100",Fortaleza,CE,+55 85 3226-4147,4.7,623,-3.725784,-38.527351599999996,,
60010010,7,Amoras Restaurante,,ChIJbWDjXPZJxwcRPxByoezeimA,"R. São Paulo, 452 - Centro, Fortaleza - CE, 60030-100",Fortaleza,CE,+55 85 99789-2230,4.3,3,-3.7251358999999997,-38.5298565,,
60010010,8,Restaurante Bandejao,,ChIJARO_lrNJxwcRedW-mPkx43c,"R. Castro e Silva, 633 - Centro, Fortaleza - CE, 60876-690",Fortaleza,CE,+55 85 3212-3838,3.5,4,-3.7227137,-38.5310439,,
60010010,9,Restaurante Sabor do Chefe,,ChIJoXa89g9JxwcRR-hYfdKrRi8,"R. Sen. Alencar, 240 - Centro, Fortaleza - CE, 60030-050",Fortaleza,CE,+55 85 98967-8437,4.8,12,-3.7247185999999997,-38.528093399999996,,
60010010,10,Restaurante Sevem Grill Gourmet,,ChIJf7o9-bJJxwcRfSm2zB9UYec,"R. Sen. Alencar, 396 - Centro, Fortaleza - CE, 60030-050",Fortaleza,CE,+55 85 99905-2900,4.9,8,-3.7241044,-38.529424999999996,,
60010010,11,O Paulo,,ChIJeyTVq7NJxwcRiE9cIRPWr-Q,"R. Gen. Sampaio, 585 - Centro, Fortaleza - CE, 60020-030",Fortaleza,CE,+55 85 3212-0293,4.6,154,-3.7236995999999998,-38.529745399999996,,
60010010,12,Garfo Self-service,,ChIJKX5Es7JJxwcRBzmNA1zO-2Y,"R. Major Facundo, 259 - Centro, Fortaleza - CE, 60025-100",Fortaleza,CE,+55 85 3221-1558,4.6,550,-3.7253678999999997,-38.5270568,,
60010010,13,RESTAURANTE BRITTO'S,,ChIJx-3FibJJxwcRksySImykz88,"R. São Paulo, 425 - Centro, Fortaleza - CE, 60030-100",Fortaleza,CE,,4.4,162,-3.7254403999999997,-38.529567,,
60010010,14,Culinária regional / Restaurante Central,https://www.ifood.com.br/delivery/fortaleza-ce/comida-do-sertao-centro/8156a46b-2e2c-4cb7-aee0-3895b809e627?utm_medium=share,ChIJfbxeIl1JxwcRcqSXaHcarKE,"Praça de alimentação - Av. Alberto Nepomuceno, 199 - Box 38 - Centro, Fortaleza - CE, 60055-000",Fortaleza,CE,+55 85 3454-8107,4.5,83,-3.7233779,-38.523993399999995,,
60010010,15,Restaurante Dona Maria,,ChIJXXL2gY1JxwcRYOtcIbgKjFY,"Rua Santo Inácio, 95 - Moura Brasil, Fortaleza - CE, 60010-090",Fortaleza,CE,+55 85 98861-9208,5,1,-3.7189490999999997,-38.536432,,
60010010,16,Restaurante Fama,,ChIJBeWKBbJJxwcRoqbcNR-A_8A,"Shopping Metrô - Loja 270, Rua 24 de Maio, 444 - Centro, Fortaleza - CE, 60020-000",Fortaleza,CE,+55 85 3031-1610,4.1,118,-3.7254817,-38.5320216,,
60010010,17,Restaurante Supimpa Comida Caseira,,ChIJ7RYoSrBJxwcRVhRTVcFQbkM,"R. Guilherme Rocha, 1025 - Centro, Fortaleza - CE, 60030-141",Fortaleza,CE,,,,-3.7246652,-38.535232799999996,,
60010010,18,Restaurante Tempero Kseiro,,ChIJu_gePU1IxwcR5XU5cXHTb6M,"Tv. Crato, 76 - Centro, Fortaleza - CE, 60030-040",Fortaleza,CE,,4.1,135,-3.7247554,-38.525909399999996,,
60010010,19,Dom Diego Restaurante - Matriz,,ChIJ1VJ6JVNIxwcRWvKb5XjDUcM,"Rua do Rosário, 98 - Centro, Fortaleza - CE, 60055-090",Fortaleza,CE,+55 85 3254-3290,3.8,18,-3.7285719,-38.5262622,,
60010010,20,Nutrí Mais Restaurante Self Service,,ChIJ9aJ40UxIxwcRbyp8CxFRs6A,"R. Major Facundo, 82 - Centro, Fortaleza - CE, 60025-100",Fortaleza,CE,+55 85 99271-2606,4.7,13,-3.7238107,-38.5266787,,
60010010,2,Restaurante Gomes Grill,,ChIJNz9hhcpJxwcREJqaF94-cX8,"R. Sen. Pompeu, 856 - Centro, Fortaleza - CE, 60025-000",Fortaleza,CE,+55 85 98600-5852,4.3,4,-3.7260304,-38.530305399999996,,
60010010,3,Restaurante e lanchonete barraca da amada,https://restauranteelancho99.wixsite.com/restaurante,ChIJq6ou2kxIxwcRNYbLcvcEvLM,"Shooping Floriano - R. Floriano Peixoto, 176 - Centro, Fortaleza - CE, 60025-130",Fortaleza,CE,+55 85 98422-0895,5,2,-3.7239445,-38.5262302,,
60010010,4,Café Passeio,https://cafepasseio.negocio.site/,ChIJ3_7y0VRIxwcRykYBsUY1RmA,"Passeio Público - R. Dr. João Moreira - Centro, Fortaleza - CE, 60030-000",Fortaleza,CE,+55 85 3063-8782,4.5,1239,-3.7226518,-38.5259511,,
60010010,5,Restaurante La Fiorelli,,ChIJk4Z_ZatJxwcR1EODjGposIs,"Centro, Fortaleza - CE, 60025-100",Fortaleza,CE,+55 85 3253-5601,3.8,31,-3.7307625,-38.5287126,,
60010010,6,Irmão Restaurante,,ChIJ4fos2PtIxwcRHhw_O5bMHCQ,"Av. Almirante Barroso, 911 - Praia de Iracema, Fortaleza - CE, 60060-440",Fortaleza,CE,+55 85 98710-3921,4.5,43,-3.7200260999999997,-38.514860999999996,,
60010010,7,Dadá Restaurante,,ChIJxeVgW1NIxwcRidy-5yUlPxc,"Rua do Rosário, 277 - Centro, Fortaleza - CE, 60135-050",Fortaleza,CE,,,,-3.7301295999999997,-38.5259807,,
60010010,8,Tempero Goiano,,ChIJUc7c0UxIxwcRPEMT208VmcQ,"R. Major Facundo, 82 - Centro, Fortaleza - CE, 60025-100",Fortaleza,CE,+55 85 98603-0635,4.3,36,-3.7238107,-38.5266787,,
60010010,9,Restaurante,,ChIJiWXdeTxJxwcRNbcZEhNMNXU,"Avenida Imperador, 880 - Centro, Fortaleza - CE, 60015-050",Fortaleza,CE,+55 85 99638-7809,5,1,-3.7289974,-38.5348855,,
60010010,10,Restaurante Bom Sabor,,ChIJOz8Tf7BJxwcRFF4FVPyD0kE,"R. Guilherme Rocha, 1266 - Centro, Fortaleza - CE, 60030-141",Fortaleza,CE,,4.7,3,-3.7238053,-38.537449699999996,,
60010010,11,Comida Boa Restaurante e Marmitaria,,ChIJXak9WYpJxwcRphSpeGZFpjk,"R. Sen. Almir Pinto, 77 - Centro, Fortaleza - CE, 60055-250",Fortaleza,CE,+55 85 98630-5834,4.7,10,-3.7262481,-38.5242663,,
60010010,12,Restaurante da Boró - Comida Caseira,,ChIJL6pB7kpJxwcRCVBOGUPPpag,"R. dos Aprendizes Marinheiros, 300 - Moura Brasil, Fortaleza - CE, 60015-220",Fortaleza,CE,,5,2,-3.7194352999999998,-38.535896,,
60010010,13,Restaurante Delícias Grill,,ChIJzy8tPKxJxwcRhHBW9dm3W9U,"R. Gen. Sampaio, 1187 - Centro, Fortaleza - CE, 60020-030",Fortaleza,CE,,,,-3.7289242999999996,-38.531312799999995,,
60010010,14,Restaurante Sabores do Nordeste,,ChIJV_nWvcxJxwcRlqF0uPAjru8,"Av. Pessoa Anta, 123 - Centro, Fortaleza - CE, 60060-188",Fortaleza,CE,,5,2,-3.7207789,-38.5217977,,
