CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
70002900,1,Downtown Restaurante Escola SENAC,https://www.dn.senac.br/imprensa/noticias/senac-downtown-no-instagram/,ChIJcdfHER07WpMRsfE-fUkM-nQ,"St. Bancário Norte 1 - Asa Norte, Brasília - DF",Brasília,DF,+55 61 99673-5733,4.7,171,-15.7904991,-47.8806297,,
70002900,2,Bar e Restaurante Ka Entre Nos,,ChIJB2yV5R07WpMRMjnZG_c6g3o,"Scln Qda 411 Bloco B 1 - Asa Norte, DF",Brasília,DF,,,,-15.793150899999999,-47.8814169,,
70002900,3,Restaurante Nobiles,,ChIJB1dBAh47WpMR9xr60jpfnXE,"3368 70297-400, SCTN Centro Empresarial Norte - Brasília, DF, 70770-100",Brasília,DF,+55 61 3041-0686,4.7,3,-15.7942287,-47.882165799999996,,
70002900,4,Restaurante Central,,ChIJqYrQo-I6WpMRLyX-Zll5KS4,"Scn Q 1 - s/n bl G lj 130, DF",Brasília,DF,+55 61 2106-9720,4,8,-15.7877517,-47.8825134,,
70002900,5,Gira Mais Restaurante e Partipacoes,,ChIJFcUyHOM6WpMRBG0_ZdIVzY4,"Sdn Cnb Etapa I - s/n, DF",Brasília,DF,,,,-15.7910673,-47.8830082,,
70002900,6,Restaurante Comida Mineira,,ChIJOXjJ_uE6WpMRYNDXuv8uTfc,"Qd 04 Lt 05 - s/n Lj 15 Edifício Serrano, DF",Brasília,DF,,5,1,-15.7941454,-47.8825479,,
70002900,7,Restaurante Nó na Madeira,,ChIJOXjJ_uE6WpMR3-8DlI3sFZE,"Rua Emul Press ACP DFL, s/n - Brasília, DF, 71730-170",Brasília,DF,+55 61 99400-0636,,,-15.7941454,-47.8825479,,
70002900,8,Sinatra Restaurante,,ChIJYQuMRsg5WpMRmDYPnrDMJj8,"SBN Q 2 Ed. Paulo Maurício Loja 5 - Asa Norte, Brasília - DF, 70297-400",Brasília,DF,+55 61 3327-9432,4,73,-15.788355999999999,-47.878805299999996,,
70002900,9,Fornalha,http://www.fornalha.com.br/,ChIJvRL5MgM7WpMRnZslCRhaLyc,"Sbn Quadra 2, Lojas 01/02, SHCN - Asa Norte, Brasília - DF, 70040-020",Brasília,DF,+55 61 3326-5058,4.3,88,-15.7884292,-47.8792159,,
70002900,10,Commo Gastronomia,https://instagram.com/commo_gastronomia?utm_medium=copy_link,ChIJIaJOY-I6WpMR4aRBgAtfJcg,"SDN CNB - Conjunto A - Asa Norte, Brasília - DF, 70077-900",Brasília,DF,+55 61 3326-7755,4.3,346,-15.790404899999999,-47.8827426,,
