CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
72800100,1,Restaurante e Quitanda Pão de Queijo & Cia,https://instagram.com/restaurante_pao_de_queijo_e_ci,ChIJ8Vp7ovGZWZMRlsjI9zHGlrA,"R. José Eugênio, 173 - Centro, Luziânia - GO, 72800-160",Luziânia,GO,+55 61 99662-3321,4.3,11,-16.2568129,-47.9536771,,
72800100,2,Forneria D'oro Gastrobar,https://mechamenozap.com.br/forneriadorogastrobar/,ChIJTzn_2laYWZMRvjC6u4sfk5c,"R. Benjamin Roriz, Q 18 - Lote 12 - St. Aeroporto, Luziânia - GO, 72801-147",Luziânia,GO,+55 61 3622-5800,4.5,591,-16.256826099999998,-47.956012,,
72800100,3,Bistrô Food,,ChIJPctOAEWZWZMRhYvGZ0q_vTg,"R. Ophir José Braz, 122 - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 99589-6035,5,2,-16.2557777,-47.954757799999996,,
72800100,4,Sushiloko,,ChIJQUCc5lCYWZMRinahfWwE0KQ,"R. Ophir José Braz, 0 - Centro, Luziânia - GO, 72800-140",Luziânia,GO,+55 61 3052-6337,4.2,100,-16.2557683,-47.954926699999994,,
72800100,5,Star Choperia,,ChIJiz4g5MOZWZMRmF4T9bCmAwQ,"R. Ophir José Braz - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 99842-1812,3.3,3,-16.2560865,-47.955138899999994,,
72800100,6,Expresso Sushi,http://www.expressosushi.com.br/,ChIJczKgUp6ZWZMRG1_eu-qwpqI,"Shopping - Rua Ophir José Braz 122, Loja 307 e 308, 3º piso - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 99556-0988,3,22,-16.2557916,-47.9547811,,
72800100,7,COXA CONE - LUZIÂNIA,,ChIJ_84-Vp-ZWZMRJAHgevOrC-U,"Rua Ophir Jose braz. 0 Aréa Especial, Quiosque 9 - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 99446-9035,,,-16.2559684,-47.9549273,,
72800100,8,Bomba Grill,,ChIJW9-6clqYWZMRzVGvB9LPotY,"Rua Benjamin Roriz, quadra 18, Lote 15, s/n - Centro, Luziânia - GO, 72800-380",Luziânia,GO,+55 61 3622-1910,4,685,-16.2565039,-47.9564599,,
72800100,9,LE KEBEK,,ChIJHyB9K32ZWZMRw4yBE9hDRAU,"Praça Nilson - Tv. Nirson Carneiro Lôbo, S/N - Centro, Luziânia - GO, 72800-010",Luziânia,GO,+55 61 3609-1598,4,2,-16.2552639,-47.9555401,,
72800100,10,Restaurante Paladar Goiano,,ChIJA8rY406YWZMRdylKsrdGmbo,"Av. Jovêntino Rodrigues, 413-465 - Santa Luzia, Luziânia - GO, 72803-010",Luziânia,GO,+55 61 3622-5554,4.3,649,-16.2536315,-47.9481165,,
72800100,11,Self Service Palladar,,ChIJ1w-5BFSYWZMRLzmmlhTNUa4,"R. Padre Bernardo, 12 - Centro, Luziânia - GO, 72800-490",Luziânia,GO,+55 61 3621-1341,4.4,899,-16.25433,-47.9560683,,
72800100,12,Restaurante Tradição Mineira,,ChIJzXcoBFSYWZMR3rRXEJx7y14,"Centro, Luziânia - GO, 72800-460",Luziânia,GO,,4.7,31,-16.2531224,-47.9569749,,
72800100,13,Restaurante Verace,,ChIJnSaIeiiZWZMR1lbh6xdSgUA,"R. José Franco Pímentel, 89 - Centro, Luziânia - GO, 72800-500",Luziânia,GO,+55 61 3621-1372,4.3,15,-16.253210199999998,-47.955853499999996,,
72800100,14,Lanchonete Braz Getúlio,,ChIJd_Hk9zeZWZMRhvFdPSv20iQ,"R. Ophir José Braz, 314 - Jardim do Inga, Luziânia - GO, 72800-150",Luziânia,GO,,,,-16.2554433,-47.9550017,,
72800100,15,Pops açaí,,ChIJ9XI0nu6ZWZMR9D61UVnlaL4,"Praça gelmires Reis - Centro, Luziânia - GO, 72800-150",Luziânia,GO,,5,2,-16.2565858,-47.9540381,,
72800100,16,Espetaria do Leitão,,ChIJYWYl_1CYWZMR8fj4oAVs494,"R. Padre Domingos, Qd 34 - Lt 1B - Centro, Luziânia - GO, 72800-460",Luziânia,GO,+55 61 99807-9453,4.6,178,-16.2536962,-47.9575409,,
72800100,17,RESTAURANTE COZINHA BRASIL LUZIANIA,https://restaurante-cozinha-brasil-luziania.negocio.site/?utm_source=gmb&utm_medium=referral,ChIJKyxQcFGYWZMRieVWSgDjGU8,"R. Florentino Chaves, 82 - Centro, Luziânia - GO, 72800-520",Luziânia,GO,+55 61 3622-6428,4.4,100,-16.2536666,-47.9544007,,
72800100,18,Hotel E Restaurante Vitoria,http://business.google.com/website/hotel-e-restaurante-vitoria,ChIJVVHMJ1KYWZMRfKyPtW5jqZk,"R. Americano do Brasil - Centro, Luziânia - GO, 72801-013",Luziânia,GO,+55 61 3621-2382,4.4,17,-16.251254,-47.954923099999995,,
72800100,19,"Lanchonete Tropical ""O Lanche do Gordinho""",https://www.facebook.com/lanchedogordinho?fref=ts,ChIJb4FKwFCYWZMReIT9N3SuP3c,"Rua: Ophir José Braz quadra:10 - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 3622-1805,3.9,9,-16.2564115,-47.955300099999995,,
72800100,20,Fogão Mineiro,,ChIJiQj7uFGYWZMRUkF6d6NbbEw,"R. do Comércio, 208 - Centro, Luziânia - GO, 72800-010",Luziânia,GO,,4.6,37,-16.2541158,-47.952875299999995,,
72800100,1,Pororokas - Restaurante e Pizzaria em Luziânia,https://pororokas-restaurante-e-pizzaria.negocio.site/,ChIJQcALHFSYWZMRi9iMx4iTr_0,"R. Dr. João Teixeira, Qd 35 - Lt 10 - Centro, Luziânia - GO, 72800-440",Luziânia,GO,+55 61 3622-2819,4.3,816,-16.2533682,-47.9572964,,
72800100,2,Bob's Burgers,https://www.bobs.com.br/,ChIJ0YTIzdeZWZMRxSvBoB_FdFg,"R. Ophir José Braz - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 98420-0420,4,383,-16.255847199999998,-47.954672599999995,,
72800100,3,Comida da Roça,,ChIJh4JG0riZWZMR7tGHTfNrlfg,"R. Benedito José de Morais, 200-230 - Centro, Luziânia - GO, 72800-620",Luziânia,GO,,2.6,7,-16.250985099999998,-47.951606299999995,,
72800100,4,Comideria,,ChIJiZZFLcOZWZMRXxVPaJ4hpzk,"Dentro do Posto Santa Maria - R. do Comércio, n° 156 - Centro, Luziânia - GO, 72800-010",Luziânia,GO,+55 61 3044-7546,4.4,53,-16.254003,-47.9524419,,
72800100,5,Panelinha Comida Caseira,,ChIJD0z_EqeZWZMR1L6iEpJ2GqI,"R. Americano do Brasil, 57 - Centro, Luziânia - GO, 72800-010",Luziânia,GO,+55 61 99615-1991,4.5,65,-16.2534314,-47.952522599999995,,
72800100,6,Lanches Breakfast,,ChIJGxwd_z-ZWZMRjYLrO99Oghw,"R. Benedito Pimentel, N° 160 - Centro, Luziânia - GO, 72800-550",Luziânia,GO,+55 61 99562-2324,5,1,-16.2527914,-47.9523796,,
72800100,7,Ponto Q,,ChIJ488bJIuZWZMRzA2f1K4R-8I,"R. Americano do Brasil, 191 - Centro, Luziânia - GO, 72800-570",Luziânia,GO,,4.4,180,-16.2525124,-47.9535057,,
72800100,8,Frango Assado Luziânia - Galetos Galvão,,ChIJM1EbIQ2ZWZMR-c6OquuY718,"AV. EZIO CARNEIRO NR184 LOJA - St. Aeroporto, Luziânia - GO, 72800-420",Luziânia,GO,+55 61 99641-0159,5,13,-16.2569239,-47.9572011,,
72800100,9,Gallegos Lanches,,ChIJuZ1OllCYWZMROhxtIYpUnYo,"Rua Ophir José Braz, Lote 8, s/n - Centro, Luziânia - GO, 72800-150",Luziânia,GO,+55 61 3084-2999,4.5,514,-16.256871999999998,-47.9551811,,
72800100,10,Restaurante Fogo e Brasa,https://www.instagram.com/fogoebrasaluziania,ChIJY5rKZVKYWZMRQMlLvSF5jns,"R. Benedito José de Morais, 200-230 - Centro, Luziânia - GO, 72800-620",Luziânia,GO,+55 61 99840-1468,4.4,238,-16.2504881,-47.952362699999995,,
72800100,11,Açaí do Sérgio,,ChIJqelUA1-ZWZMRkH6keUGMuC8,"Tv. Nirson Carneiro Lôbo, 73 - Centro, Luziânia - GO, 72800-040",Luziânia,GO,+55 61 99829-3220,3.2,13,-16.2556799,-47.9555454,,
72800100,12,Salgados,,ChIJV_F-F1GYWZMR0RJ2EW1eKz0,"R. do Comércio, 453 - Centro, Luziânia - GO, 72800-500",Luziânia,GO,,5,6,-16.2548241,-47.9550384,,
72800100,13,Brasa Espetaria,https://instagram.com/brasa.espetaria_?igshid=YmMyMTA2M2Y=,ChIJ-11gzDCZWZMRqVfIsIDG9Us,"R. Dr. Ézio Carneiro, Q 17 - LT 01 - Luziânia, GO, 72801-060",Luziânia,GO,+55 61 99113-1305,4.7,7,-16.2573182,-47.9576085,,
72800100,14,Skina 67,,ChIJvcL_QwGZWZMR0gZ9ChhBkMw,"R. Dr. João Teixeira, Quadra 67 - Centro, Luziânia - GO, 72800-440",Luziânia,GO,+55 61 99837-9724,3.9,267,-16.2510819,-47.9550188,,
72800100,15,"Restaurante, Bar e Lanchonete Aeroporto",,ChIJ0YFhUvqYWZMRQ6LTie1_lcM,"Luziânia, GO",Luziânia,GO,+55 61 99981-9280,4.5,32,-16.2588136,-47.9682801,,
72800100,16,Restaurante e Lanchonete Tempero Mineiro,,ChIJD3iXt1iYWZMRwlkCudk-5wQ,"R. Santana, 698 - St. Fumal, Luziânia - GO, 72801-520",Luziânia,GO,,4.3,10,-16.2632164,-47.9602858,,
72800100,17,Mió Restaurante e Bar - Luziânia,https://instagram.com/miorestauranteebar?igshid=OGQ5ZDc2ODk2ZA==,ChIJHz-HHVCZWZMRq4Zwe_rhLWo,"R. Dr. João Teixeira, Qd. 66 - Lote 14A - Centro, Luziânia - GO, 72800-440",Luziânia,GO,+55 61 98160-9662,4.9,77,-16.2516463,-47.9556575,,
72800100,18,Restaurante Casarão,,ChIJX36-f8yZWZMRJ-ngdxEITkI,"R. do Rosário, 135 - Vila Rosario, Luziânia - GO, 72812-060",Luziânia,GO,+55 61 99999-6719,4.7,308,-16.252179599999998,-47.9480402,,
72800100,19,Quitanda São Judas Tadeu - Centro,,ChIJn6T3KFKYWZMRfJNKWk4lP9o,"R. Americano do Brasil, 191 - Centro, Luziânia - GO, 72800-570",Luziânia,GO,+55 61 3621-4929,4.4,1728,-16.2525162,-47.9534756,,
72800100,20,Petiscaria e Bistrô Malagoli,https://instagram.com/bistromalagoli?utm_medium=copy_link,ChIJ_4BOPkyYWZMRnqzBumhRW5g,"R. do Rosário, 320 - Vila Rosario, Luziânia - GO, 72812-060",Luziânia,GO,+55 61 3622-5042,4.7,570,-16.250278899999998,-47.9479329,,
72800100,1,FIORENZZA,https://www.instagram.com/fiorenzzaluziania/,ChIJlUiOSrCZWZMRWU__BCPkVJI,"R. Padre Domingos, 750 - Centro, Luziânia - GO, 72800-460",Luziânia,GO,+55 61 99638-6237,4.5,2,-16.254957,-47.9562534,,
72800100,2,Restaurante Vitoria - Piquete,https://especialistaof.com/restaurantevitoria/,ChIJLZeoZWyZWZMRbzQ6FApmh9c,"R. Americano do Brasil, 342 - Centro, Luziânia - GO, 72800-570",Luziânia,GO,+55 61 99300-2926,,,-16.2512726,-47.954297399999994,,
72800100,3,EXPRESSO SUSHI,http://www.expressosushi.com.br/,ChIJA6h4_AmbWZMR5W8ilS0v3JM,"R. Padre Domingos, 130 - Quadra 34 Lote 07 - Centro, Luziânia - GO, 72800-460",Luziânia,GO,+55 61 98373-5353,4,6,-16.2545152,-47.9567663,,
72800100,4,Kallifas Café e Cozinha,,ChIJj3VBxFGYWZMRA0PS4nP1I8o,"R. do Comércio, 382-432 - Centro, Luziânia - GO, 72800-010",Luziânia,GO,+55 61 3622-1656,4.4,829,-16.2504836,-47.9543134,,
72800100,5,Otaku Sushi,https://otakusushi.com.br/,ChIJd2b3K7eZWZMRgIv19DQOZc8,"R. Prof. Artur Roriz, 658 - Quadra 16, Lote 8 - St. Aeroporto, Luziânia - GO, 72800-400",Luziânia,GO,+55 61 99205-1416,4.5,83,-16.258319,-47.957097399999995,,
72800100,6,EVS)Espaço Vida Saudável Herbalife Luziânia IVANES,https://www.instagram.com/ivanesherbalife/,ChIJDXrN4RGZWZMRl-xgiTRQorE,"R. Joao Braz, 191 - Centro, Luziânia - GO, 72800-080",Luziânia,GO,+55 61 99948-9453,5,10,-16.2554517,-47.9538684,,
72800100,7,Danny Lanches,,ChIJw9D-IFiYWZMR-BkzFKjLGpo,"St. Aeroporto, Luziânia - GO, 72801-125",Luziânia,GO,,,,-16.2588284,-47.959956,,
72800100,8,Mais Nutri Fitness,,ChIJC-fvpjyZWZMR-TMv9G4O11c,"digo machado de araujo - R. Delfino Roriz, quadra 65 - lote 08 - Diogo Machado Araujo, Luziânia - GO, 72810-050",Luziânia,GO,+55 61 99192-9607,5,46,-16.2511845,-47.957040799999994,,
