CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Current Opening Hours,Rating,Reviews,Latitude,Longitude,Per Day Opening Hours
01001000,1,Restaurante e Leiteria Regina,,ChIJfTlZKatZzpQRICvIPwnszTQ,"Largo da Misericórdia, 106 - Centro Histórico de São Paulo, São Paulo - SP, 01012-020",São Paulo,SP,+55 11 3105-7767,Aberto ⋅ Fecha sex. às 05:00,4.4,1045,-23.5484845,-46.6344782,quinta-feira: 06:00–05:00; sexta-feira: 06:00–05:00; sábado: 06:00–00:00; domingo: Atendimento 24 horas; segunda-feira: 06:00–17:00; terça-feira: 06:00–05:00; quarta-feira: 06:00–05:00
01001000,4,Restaurante Bom Gosto,,ChIJ8XrTtFVYzpQRDJU8eGeZlOA,"R. São Bento, 525 - Centro Histórico de São Paulo, São Paulo - SP, 01011-100",São Paulo,SP,+55 11 97675-1632,Aberto ⋅ Fecha às 23:00,4.5,1080,-23.5447211,-46.6344326,quinta-feira: 07:00–23:00; sexta-feira: 07:00–23:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 07:00–22:00; terça-feira: 07:00–22:00; quarta-feira: 07:00–22:00
01001000,5,Maria Lisboa e Restaurante,,ChIJrS4cT6tZzpQRvwiAl9esoOo,"Rua Senador Paulo Egídio, 21 - Sé, São Paulo - SP, 01003-000",São Paulo,SP,+55 11 3106-0724,Aberto ⋅ Fecha às 23:00,4,1,-23.549199599999998,-46.6358512,quinta-feira: 11:00–23:00; sexta-feira: 11:00–23:00; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–23:00; terça-feira: 11:00–23:00; quarta-feira: 11:00–23:00
01001000,6,Restaurante Champion,,ChIJ-eAaCqlZzpQRJ1oR30DRji8,"R. da Glória, 118 - Liberdade, São Paulo - SP, 01510-001",São Paulo,SP,+55 11 3106-0065,Aberto ⋅ Fecha às 23:00,4.3,314,-23.5542789,-46.6344101,quinta-feira: 11:00–23:00; sexta-feira: 11:00–23:00; sábado: 11:00–21:00; domingo: 11:00–23:00; segunda-feira: 11:00–21:00; terça-feira: 11:00–23:00; quarta-feira: 11:00–23:00
01001000,7,Bar e Restaurante O Sucesso,,ChIJFTVxz6dZzpQRjc-6f6ihCmU,"Rua Barão de Iguape, 319 / 325 - Liberdade, São Paulo - SP, 01507-000",São Paulo,SP,+55 11 3341-1705,Aberto ⋅ Fecha à 00:00,4.2,515,-23.5584036,-46.634257399999996,quinta-feira: 05:00–00:00; sexta-feira: 05:00–00:00; sábado: 05:00–00:00; domingo: 05:00–00:00; segunda-feira: 05:00–00:00; terça-feira: 05:00–00:00; quarta-feira: 05:00–00:00
01001000,8,Restaurante Cheiro Verde,,ChIJlc4FFABZzpQRePy27jb8uC4,"R. São Nicolau, 20 - Centro Histórico de São Paulo, São Paulo - SP, 01015-030",São Paulo,SP,+55 11 98340-8885,Fecha em breve ⋅ 22:00 ⋅ Abre sex. às 10:00,4.5,25,-23.5476688,-46.6315935,quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: Fechado; segunda-feira: 10:00–22:00; terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00
01001000,9,Restaurante Cirdys,,ChIJfURodiFZzpQR3NLlv3ITJvA,"Sé, São Paulo - SP, 01001-010",São Paulo,SP,+55 12 3132-4370,Fechado ⋅ Abre sex. às 11:00,4.5,2,-23.5514458,-46.6336307,quinta-feira: 11:00–15:00; sexta-feira: 11:00–15:00; sábado: 11:00–15:00; domingo: Fechado; segunda-feira: 11:00–15:00; terça-feira: 11:00–15:00; quarta-feira: 11:00–15:00
01001000,10,Restaurante Pirandello,https://www.instagram.com/sao_jorge_pirandelo/,ChIJw-yUhlRYzpQRumW8Rv7QDcU,"R. Líbero Badaró, 332 - Centro Histórico de São Paulo, São Paulo - SP, 01008-000",São Paulo,SP,+55 11 3105-8218,Fecha em breve ⋅ 22:00 ⋅ Abre sex. às 06:00,4.4,507,-23.5467464,-46.636310699999996,quinta-feira: 06:00–22:00; sexta-feira: 06:00–22:00; sábado: Fechado; domingo: Fechado; segunda-feira: 06:00–22:00; terça-feira: 06:00–22:00; quarta-feira: 06:00–22:00
01001000,11,Planeta's Restaurante,http://www.planetas-sp.com.br/,ChIJ9WTlBUxYzpQRSkWsgDWJtzQ,"Rua Martinho Prado, 212 - Bela Vista, São Paulo - SP, 01306-040",São Paulo,SP,+55 11 3256-5330,Aberto ⋅ Fecha às 23:00,4.6,2340,-23.5500416,-46.6459797,quinta-feira: 12:00–23:00; sexta-feira: 12:00–00:30; sábado: 12:00–00:30; domingo: 12:00–23:30; segunda-feira: 12:00–23:00; terça-feira: 12:00–23:00; quarta-feira: 12:00–23:00
01001000,12,Restaurante Grill João Mendes.,https://cardapio.menu/restaurants/sao-paulo/grill-joao-mendes,ChIJ-6RVz6tZzpQRA9HKHlouPxw,"Praça Dr. João Mendes, 158 - Centro Histórico de São Paulo, São Paulo - SP, 01501-000",São Paulo,SP,+55 11 3105-7942,Fechado ⋅ Abre sex. às 11:00,4.2,585,-23.5524235,-46.634861,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,13,Restaurante Neves,,ChIJIXDzCqtZzpQRTQdy0Y21U1Q,"R. Quintino Bocaiúva, 247 - Sé, São Paulo - SP, 01004-010",São Paulo,SP,+55 11 3101-0219,Fechado ⋅ Abre sex. às 10:30,4.3,249,-23.5508883,-46.6352945,quinta-feira: 10:30–15:00; sexta-feira: 10:30–15:00; sábado: Fechado; domingo: Fechado; segunda-feira: 10:30–15:00; terça-feira: 10:30–15:00; quarta-feira: 10:30–15:00
01001000,14,Restaurante Nova Municipal,,ChIJi8tDOlJYzpQRVD3Zi62UgWU,"R. Conselheiro Crispiniano, 108-120 - República, São Paulo - SP, 01037-000",São Paulo,SP,+55 11 3159-0753,Aberto 24 horas,4.7,18,-23.5461641,-46.6399854,quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas
01001000,15,Bar e Restaurante da Cidade Xangô,https://lanchonete-e-restaurante-da-cidade.negocio.site/,ChIJUU_gIE9YzpQRRAEzOQ5ZerM,"Rua Gen. Jardim - República, São Paulo - SP, 01223-010",São Paulo,SP,+55 11 3151-2070,Aberto ⋅ Fecha às 23:00,4.3,924,-23.5445884,-46.6453327,quinta-feira: 07:00–23:00; sexta-feira: 07:00–23:00; sábado: 07:00–23:00; domingo: Fechado; segunda-feira: 07:00–23:00; terça-feira: 07:00–23:00; quarta-feira: 07:00–23:00
01001000,16,Restaurante Bentô House,,ChIJizF6H6lZzpQRC5iXDrwRkso,"Praça da Liberdade, 266 - Liberdade, São Paulo - SP, 01503-010",São Paulo,SP,+55 11 3209-0726,Fecha em breve ⋅ 22:00 ⋅ Abre sex. às 11:30,4.4,2638,-23.5556207,-46.6355314,quinta-feira: 11:30–22:00; sexta-feira: 11:30–22:00; sábado: 11:30–22:00; domingo: 11:30–22:00; segunda-feira: 11:30–22:00; terça-feira: 11:30–22:00; quarta-feira: 11:30–22:00
01001000,17,Helena Restaurante,,ChIJp_mWnatZzpQRADHd38qEuC8,"R. Riachuelo, 59 - Centro Histórico de São Paulo, São Paulo - SP, 01007-000",São Paulo,SP,+55 11 3107-5923,Fechado ⋅ Abre sex. às 11:00,4.5,105,-23.5511548,-46.635951399999996,quinta-feira: 11:00–15:00; sexta-feira: 11:00–15:00; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:00; terça-feira: 11:00–15:00; quarta-feira: 11:00–15:00
01001000,18,Jamile Restaurante,http://jamilerestaurante.com.br/jamile/#post-13,ChIJT7RhLbFZzpQRMzYbOGs6jH0,"R. Treze de Maio, 647 - Bela Vista, São Paulo - SP, 01327-000",São Paulo,SP,+55 11 2985-3005,Aberto ⋅ Fecha às 23:00,4.6,2874,-23.5588356,-46.6462638,quinta-feira: 12:00–15:00; quinta-feira: 19:00–23:00; sexta-feira: 12:00–15:00; sexta-feira: 19:00–00:00; sábado: 12:00–16:00; sábado: 19:00–00:00; domingo: 12:00–17:00; segunda-feira: 12:00–15:00; segunda-feira: 19:00–22:00; terça-feira: 12:00–15:00; terça-feira: 19:00–22:00; quarta-feira: 12:00–15:00; quarta-feira: 19:00–23:00
01001000,19,Lanchonete e Restaurante Kero Mais 2,,ChIJD7Gh2AtZzpQRkhQxPSdYEG8,"Rua Direita 11,Quadra 11,lote 53,Centro,Cavalcante Gos - Se",São Paulo,SP,+55 62 3494-1407,Aberto ⋅ Fecha às 23:00,,,-23.5484391,-46.6348972,quinta-feira: 11:00–23:00; sexta-feira: 11:00–23:00; sábado: 11:00–23:00; domingo: Fechado; segunda-feira: 11:00–23:00; terça-feira: 11:00–23:00; quarta-feira: 11:00–23:00
01001000,20,Quintino's Restaurante,,ChIJJcYLoKtZzpQRjCa161i6nNM,"R. Quintino Bocaiúva, 262 - Sé, São Paulo - SP, 01004-010",São Paulo,SP,+55 11 3107-5551,Fechado ⋅ Abre sex. às 11:00,4.3,68,-23.550935499999998,-46.6355042,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,3,Casarão Restaurante,,ChIJxRFdY6tZzpQRtGQhcDp7wpU,"R. Riachuelo, 134 - Sé, São Paulo - SP, 01007-000",São Paulo,SP,+55 11 3106-0704,Fecha em breve ⋅ 22:00 ⋅ Abre sex. à 00:00,4.2,189,-23.5506213,-46.6364914,quinta-feira: 07:00–22:00; sexta-feira: Atendimento 24 horas; sábado: 08:30–17:00; domingo: Fechado; segunda-feira: 07:00–22:00; terça-feira: 07:00–22:00; quarta-feira: 07:00–22:00
01001000,2,Restaurante Metropolitanus,,ChIJderGR6pZzpQRNb3cV939bOM,"R. Filipe de Oliveira, 32 - Sé, São Paulo - SP, 01001-010",São Paulo,SP,+55 11 3115-5142,Fechado ⋅ Abre sex. às 05:30,4.1,31,-23.551389099999998,-46.6337543,quinta-feira: 05:30–20:00; sexta-feira: 05:30–20:00; sábado: 06:00–17:00; domingo: Fechado; segunda-feira: 05:30–20:00; terça-feira: 05:30–20:00; quarta-feira: 05:30–20:00
01001000,1,Restaurante Porque Sim,https://www.instagram.com/restauranteporquesim/,ChIJh-Aho6hZzpQRrjYN_2is5ek,"R. Thomaz Gonzaga, 75 - Liberdade, São Paulo - SP, 01506-020",São Paulo,SP,+55 11 3277-1557,Fecha em breve ⋅ 22:30 ⋅ Abre sex. às 11:30,4.7,6062,-23.5575723,-46.635720299999996,quinta-feira: 11:30–15:00; quinta-feira: 18:00–22:30; sexta-feira: 11:30–15:00; sexta-feira: 18:00–22:30; sábado: 11:30–15:00; sábado: 18:00–22:30; domingo: 11:30–15:00; domingo: 18:00–21:30; segunda-feira: 11:30–15:00; segunda-feira: 18:00–22:30; terça-feira: 11:30–15:00; terça-feira: 18:00–22:30; quarta-feira: Fechado
01001000,5,Restaurante Glória 95,https://instagram.com/restaurantegloria95?igshid=MzRlODBiNWFlZA==,ChIJbajxn6lZzpQRv4rrlBfWVos,"R. da Glória, 95 - Liberdade, São Paulo - SP, 01510-001",São Paulo,SP,+55 11 3101-3735,Fechado ⋅ Abre sex. às 11:00,4.5,147,-23.5540239,-46.634139,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,7,Restaurante Quinzão da Sé,,ChIJU8FWvRpZzpQRPGUn5pUWIzM,"GALERIA DA, Praça da Sé, 32 - Sé, São Paulo - SP, 01001-001",São Paulo,SP,,Fechado ⋅ Abre sex. às 11:00,5,1,-23.549230899999998,-46.6338377,quinta-feira: 11:00–16:00; sexta-feira: 11:00–16:00; sábado: 11:00–16:00; domingo: Fechado; segunda-feira: 11:00–16:00; terça-feira: 11:00–16:00; quarta-feira: 11:00–16:00
01001000,3,Lago Verde Restaurante,,ChIJLQL6TatZzpQR7Jy2AWkE-4I,"R. José Bonifácio, 191 - Centro Histórico de São Paulo, São Paulo - SP, 01003-000",São Paulo,SP,+55 11 3105-4570,Fechado ⋅ Abre sex. às 08:00,4.6,205,-23.549025,-46.6361236,quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: Fechado; segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00
