CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
50010000,1,Sertanense restaurante rua Nova 356,,ChIJw9_aoLkYqwcRhLeS6g4uKe8,"R. Nova, 356 - Santo Antônio, Recife - PE, 51010-540",Recife,PE,+55 81 3424-4630,4.4,1738,-8.0638566,-34.8806413,,
50010000,2,Restaurante Saboreart,,ChIJFWYShrcYqwcROawoQtXLz1w,"Praça Joaquim Nabuco, 71 - Santo Antônio, Recife - PE, 50010-480",Recife,PE,+55 81 98501-5496,4,301,-8.0645221,-34.8810003,,
50010000,3,Todo Sabor,,ChIJ75sb67kYqwcRtUdf09yyOwg,"R. Frei Caneca - Santana, Recife - PE, 50010-120",Recife,PE,,4.5,169,-8.0651377,-34.8801726,,
50010000,4,Restaurante Sabor do Lar,,ChIJTQ0_1rsYqwcRKUyFaCEI2nY,"Santo Antônio, Recife - PE, 52021-210",Recife,PE,+55 81 3224-4754,4.2,73,-8.0645129,-34.880993499999995,,
50010000,5,Restaurante Bom Gosto (praça do diário),,ChIJF3ZLnKEZqwcRIAH2UOPwAlY,"Praça do Diário, 36 - Santo Antônio, Recife - PE, 50010-080",Recife,PE,+55 81 98793-5703,5,2,-8.0639837,-34.878231299999996,,
50010000,6,Restaurante Frigideira,,ChIJkzPzg94ZqwcRUxx7QLeGbaA,"Av. Conde da Boa Vista, 50 - Loja 09 - Boa Vista, Recife - PE, 50060-004",Recife,PE,+55 81 98555-2944,1.5,23,-8.061809799999999,-34.881757,,
50010000,7,"VARANDA NOVO RECIFE-PE 66, RESTAURANTE & PUB",,ChIJf8TFy7gYqwcRVf2hLc7QtTQ,"Restaurante & Pub, Condomínio do Edifício Novo Recife Super Centro Co - 66 NA LAJE, 3231-7749 - Boa Vista, Recife - PE, 50060-040",Recife,PE,+55 81 98361-9329,,,-8.062176899999999,-34.882807899999996,,
50010000,8,Restaurante Paladar,,ChIJ16U6bbcYqwcRqSfpG8Gdj3g,"R. Tobias Barreto, 218 - São José, Recife - PE, 50020-700",Recife,PE,,4.5,73,-8.0671883,-34.8809325,,
50010000,9,Restaurante Gosto de Casa,,ChIJQQHEHroYqwcR3J7sMXU8B8o,"R. Estreita do Rosário, 153 - Santo Antônio, Recife - PE, 50010-140",Recife,PE,+55 81 3424-7884,4.6,54,-8.0653592,-34.8774982,,
50010000,10,Zaap Restaurante e lanchonete,https://instagram.com/zaap_restaurante?igshid=YjNmNGQ3MDY=,ChIJxe2zR4UZqwcRVU3lu4d2-u0,"Pr. Dezessete, 80 - Santo Antônio, Recife - PE, 50010-160",Recife,PE,+55 81 99733-4886,4.8,21,-8.0650481,-34.8770217,,
50010000,11,Yang Leem - Carlos Comida Chinesa,,ChIJB9znpTEZqwcRI26bJRNvuXc,"R. da Palma - Santana, Recife - PE, 50030-230",Recife,PE,,5,1,-8.0636837,-34.880238299999995,,
50010000,12,Ponto Grill Restaurante & Pizzaria,,ChIJ8XFQab8YqwcRC2CCw5lvd0Q,"R. do Hospício, 380 - Boa Vista, Recife - PE, 50050-400",Recife,PE,+55 81 3129-6965,4.4,211,-8.059618,-34.8835547,,
50010000,13,Restaurante Veneza Brasileira f:98834-5486,,ChIJpfXb6rsYqwcRaBOeMOyG6d0,"R. Siqueira Campos, 248-282 - COHAB, Recife - PE, 51345-400",Recife,PE,+55 81 98834-5486,4.2,145,-8.0629189,-34.877677399999996,,
50010000,14,Restaurante Leite,https://restaurante-leite.negocio.site/,ChIJz6Gqq-cYqwcRnuPcfC098HQ,"Praça Joaquim Nabuco, 147 - Santo Antônio, Recife - PE, 50010-480",Recife,PE,+55 81 3224-7977,4.7,1707,-8.064991,-34.881274999999995,,
50010000,15,Restaurante Dom Supremo,https://www.instagram.com/domsupremo07/,ChIJh3GqjgAZqwcRTA7Hxe7qe5c,"R. Marquês do Recife, 154 - Santo Antônio, Recife - PE, 50010-060",Recife,PE,,4.7,20,-8.0633018,-34.8776388,,
50010000,16,Restaurante Maria Bonita,,ChIJVzvVgoQZqwcRvZ41oCxvf34,"Santo Antônio, Recife - PE, 50030-230",Recife,PE,,4.3,8,-8.0660838,-34.883495499999995,,
50010000,17,Restaurante Caculé,,ChIJWRQmoGMZqwcRzoXvT7n1xmA,"R. da Matriz - Boa Vista, Recife - PE, 50060-200",Recife,PE,+55 81 98469-8974,5,1,-8.0634672,-34.8856614,,
50010000,18,Restaurante Cravo e Canela,https://instagram.com/restaurante_cravoecanela,ChIJb0cjR7kZqwcRbzitKRSGtzE,"R. Sete de Setembro, 88 - Loja B - Boa Vista, Recife - PE, 50060-070",Recife,PE,+55 81 99845-8933,4.7,154,-8.0623389,-34.8835536,,
50010000,19,Restaurante Dom Pedro,,ChIJI3edsLsYqwcR35WWWVPmpsM,"R. do Imperador, 376 - Santo Antônio, Recife - PE, 05010-240",Recife,PE,+55 81 3224-3762,4.1,136,-8.0637803,-34.8770634,,
50010000,20,Restaurante A Frigideira,https://restaurante-a-frigideira.negocio.site/,ChIJl3qoDscYqwcRogoPDiepmc4,"Travessa do Veras, 66 - Boa Vista, Recife - PE, 50060-190",Recife,PE,+55 81 98909-5190,4.5,67,-8.0629596,-34.8862759,,
50010000,1,ZUPPY - Estação Delicias Restaurante LTDA,https://m.facebook.com/zuppyrestaurante/?tsid=0.21165443693913732&source=result,ChIJrQ21xuoYqwcRdy2AtQHqagg,"Rua Bispo Cardoso Ayres, 335 - Soledade, Recife - PE, 50050-100",Recife,PE,+55 81 3877-5930,4.4,203,-8.0550655,-34.8854695,,
50010000,2,Restaurante Yi Li,,ChIJH3IhCJMZqwcRNBX63yqHeZc,"R. 1º de Março, 85 - Santo Antônio, Recife - PE, 50010-070",Recife,PE,+55 81 3049-2806,4.4,52,-8.064309,-34.877157,,
50010000,3,Restaurante Manga Rosa,,ChIJ_aMFF7wYqwcRftIYUJP93zM,"Av. Dantas Barreto, 48 - Santo Antônio, Recife - PE, 50010-360",Recife,PE,+55 81 3032-6046,4.5,696,-8.066424,-34.8797828,,
50010000,4,Restaurante Casa Nova,,ChIJC0paXrkYqwcRiQwHt8CLc9w,"R. Cleto Campêlo, 44 - Loja 5 - Santo Antônio, Recife - PE, 50010-430",Recife,PE,+55 81 3224-6796,,,-8.0626756,-34.8792033,,
50010000,5,RESTAURANTE PÓLIS,,ChIJB7EZebkYqwcRSGUixW0wUa4,"R. Matias de Albuquerque, 81 - Santo Antônio, Recife - PE, 50010-090",Recife,PE,+55 81 3037-5514,4.6,20,-8.0639337,-34.879328,,
50010000,6,Bom Sabor Recife,,ChIJde0tvS8ZqwcRKPofQPGjKUY,"Praça Joaquim Nabuco - Santo Antônio, Recife - PE, 52011-000",Recife,PE,,4.5,20,-8.0648692,-34.881535899999996,,
50010000,7,Varanda do Galo Restaurante,http://www.facebook.com/varandadogalorestaurante,ChIJuckrUrYYqwcRsNSgCOlcG2A,"R. da Concórdia, 984 - São José, Recife - PE, 35182-066",Recife,PE,+55 81 3038-6468,5,4,-8.0648652,-34.8815579,,
50010000,8,Restaurante Imperador,https://www.instagram.com/restauranteimperador/,ChIJ189UWroYqwcR_oLf1uK3dqQ,"R. do Imperador Pedro II, 503 - Santo Antônio, Recife - PE, 50010-240",Recife,PE,+55 81 99111-8803,4.5,397,-8.064898699999999,-34.8766758,,
50010000,9,São Pedro Restaurante,https://www.instagram.com/saopedrorestaurante/,ChIJlVYKTLcYqwcRXsXUBwL6jxc,"Pátio de São Pedro, 33 - São José, Recife - PE, 50010-340",Recife,PE,+55 81 98299-3333,4.6,568,-8.0666174,-34.8791721,,
50010000,10,Glurfs Restaurante e Pizzaria,,ChIJK-MXS7gYqwcRexGKNWE6iR0,"Praça Joaquim Nabuco, 179 - Santo Antônio, Recife - PE, 52011-000",Recife,PE,+55 81 3424-4926,4.1,32,-8.0649901,-34.8817737,,
50010000,11,Restaurante Acauã,,ChIJiQmLS7cYqwcR4srvQxVsGaY,"R. das Águas Verdes, 48 - São José, Recife - PE, 50020-240",Recife,PE,,4.6,5,-8.067085,-34.879224,,
