CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
80060180,1,Restaurante Bonjardim,http://bonjardim.com.br/assinaturas/bonjardim.png,ChIJtV0YrEHk3JQRyzhUpPQKwXI,"R. Francisco Torres, 285 - Centro, Curitiba - PR, 80060-130",Curitiba,PR,,4.1,9,-25.430121999999997,-49.261654,,
80060180,2,Restaurante Slim,,ChIJF9B8GT_k3JQRdrCCpAJArCg,"R. Conselheiro Araújo, 435 - Alto da Glória, Curitiba - PR, 80060-230",Curitiba,PR,,4.4,46,-25.424732199999998,-49.2604559,,
80060180,3,Lanchonete Restaurante Velha Amizade,,ChIJx3xJQ0Pk3JQRXsbATqLtNeE,"Av. Presidente Affonso Camargo, 77 - Jardim Botânico, Curitiba - PR, 82590-300",Curitiba,PR,+55 41 3363-0998,4.6,689,-25.435495799999998,-49.2593873,,
80060180,4,Restaurante Estrela,,ChIJVVUlVkDk3JQRMpzPBrXYtiQ,"R. Dr. Faivre, 700 - Centro, Curitiba - PR, 80060-140",Curitiba,PR,+55 41 3040-9009,4.8,439,-25.429455599999997,-49.2612496,,
80060180,5,Felicidades da Mô,,ChIJ6fhz7Wbl3JQReF0elLtYGEE,"R. Saldanha da Gama, 59 - Centro, Curitiba - PR, 80060-170",Curitiba,PR,,4.8,56,-25.427698799999998,-49.2592214,,
80060180,6,Chan Restaurante,,ChIJhdup7UHk3JQRu33iBy_-j7w,"R. Tibagi, 581 - Centro, Curitiba - PR, 80060-110",Curitiba,PR,,5,7,-25.432014199999998,-49.2626977,,
80060180,7,Restaurante e Hamburgueria Anthurium,,ChIJQTTVjU_k3JQRBQA3h0lVY7E,"R. Atílio Bório, 232 - Cristo Rei, Curitiba - PR, 80050-250",Curitiba,PR,+55 41 99991-4131,4.3,228,-25.4334612,-49.2531752,,
80060180,8,Restaurare - Restaurante e Casa de Massas,,ChIJ4wzfVSXl3JQRiDDTZzxqSwM,"R. Reinaldino Schaffenberg de Quadros, 296 - Alto da XV, Curitiba - PR, 80045-070",Curitiba,PR,+55 41 3086-0138,5,17,-25.429658699999997,-49.2551122,,
80060180,9,Restaurante Coty,,ChIJYQKeZkfk3JQR33aklGIIXS0,"R. XV de Novembro, 1758 - Alto da XV, Curitiba - PR, 80045-125",Curitiba,PR,+55 41 3016-0841,4.1,421,-25.4265024,-49.257387099999995,,
80060180,10,Cor e Sabor Restaurante,https://www.lojalocal.com/amstel/42306676000158,ChIJ-acbRprl3JQR1yWgdMfOdOg,"Av. Presidente Affonso Camargo, 330 - Centro, Curitiba - PR, 80060-090",Curitiba,PR,+55 41 99674-8003,3.6,10,-25.437692799999997,-49.2578896,,
80060180,11,Cappero Restaurante,https://www.cappero.com.br/,ChIJGQaN5kPk3JQRF_yZ0LXhS-0,"R. Dr. Faivre, 1022 - Centro, Curitiba - PR, 80060-140",Curitiba,PR,+55 41 3023-6721,4.7,199,-25.4321891,-49.2599483,,
80060180,12,Restaurante Estação Mineira,,ChIJ__9jY0Hk3JQRvTV4r46Ohqc,"R. Nilo Cairo, 318 - Centro, Curitiba - PR, 80060-050",Curitiba,PR,+55 41 3040-3303,4.6,753,-25.431596499999998,-49.260707599999996,,
80060180,13,Restaurante Boa Mesa,,ChIJR_nU-EDk3JQRRXKL6ljgKXM,"R. Dr. Faivre, 700 - Centro, Curitiba - PR, 80060-140",Curitiba,PR,+55 41 3022-7455,5,1,-25.4293782,-49.2613735,,
80060180,14,Golden Restaurante,,ChIJXb0mMUDk3JQR7cPGi0W1_6Y,"R. Benjamin Constant, 180 - Centro, Curitiba - PR, 80060-120",Curitiba,PR,+55 41 3323-8696,4.5,127,-25.429915299999998,-49.2629984,,
80060180,15,Restaurante Baiak,http://rcnews.com.br/,ChIJTQ9GZsXl3JQRcmDdkwmX_dE,"R. Francisco Torres, 98 - Centro, Curitiba - PR, 80060-130",Curitiba,PR,+55 41 99547-7233,4.7,63,-25.4287095,-49.2625233,,
80060180,16,Zabot Restaurante,,ChIJyVPYysbl3JQRlcYfxrO_nZs,"R. Conselheiro Araújo, 385 - Centro, Curitiba - PR, 80060-230",Curitiba,PR,+55 41 3362-3830,4.7,222,-25.424951099999998,-49.2607443,,
80060180,17,Restaurante Paladar Paulista Grill,https://restaurante-paladar-paulista-grill.negocio.site/,ChIJFXzK0UHk3JQRf70Oz0EYPAA,"Rua Tibagi, 450, R. Comendador Macedo, 101 - Centro, Curitiba - PR, 80060-110",Curitiba,PR,+55 41 3232-7450,4.6,137,-25.430995,-49.263369,,
80060180,18,RESTAURANTE A CASINHA,,ChIJSWgPMaTl3JQRZ485bWnhuMk,"Av. Visc. de Guarapuava, 1820 - Centro, Curitiba - PR, 80060-060",Curitiba,PR,+55 41 3254-7920,4.7,84,-25.433091299999997,-49.259760199999995,,
80060180,19,Bar e Restaurante Tartaruga,,ChIJb-WjvDfk3JQR6-xGpY03hJM,"R. Itupava, 828 - Alto da XV, Curitiba - PR, 80045-330",Curitiba,PR,+55 41 3262-0301,4.5,1907,-25.4225781,-49.2521784,,
80060180,20,Óliver Restaurante,,ChIJp6PpeUHk3JQREEAwLTJyN9M,"R. Francisco Torres, 440 - Centro, Curitiba - PR, 80060-130",Curitiba,PR,+55 41 99538-1977,4.6,245,-25.4316124,-49.2611949,,
80060180,3,Lozano's Restaurante,,ChIJc7VP8Tjk3JQRvyTRDT5H1pQ,"R. Amintas de Barros, 998 - Alto da XV, Curitiba - PR, 80060-200",Curitiba,PR,+55 41 99912-7311,4.3,235,-25.4242787,-49.2562545,,
80060180,4,Cantina do Délio,http://www.cantinadodelio.com.br/,ChIJF-N-EDbk3JQRxIdQ5RBj6iI,"R. Itupava, 1094 - Alto da XV, Curitiba - PR, 80045-305",Curitiba,PR,+55 41 3078-0010,4.4,3564,-25.422842,-49.249468199999995,,
80060180,5,Narcizu'S Restaurante & Buteco,https://www.facebook.com/Restaurante-Mega-Sabor-Grill-531954633872465/?ref=settings,ChIJoS8xzmPl3JQRuWsGdXJHwgA,"R. Alfredo Bufren, 54 - Centro, Curitiba - PR, 80020-240",Curitiba,PR,+55 41 99288-4066,4.4,27,-25.4287475,-49.268684,,
80060180,6,Bait Nazha Culinária Libanesa,http://www.baitnazha.com.br/,ChIJj59lS2Xl3JQRVOn7vBAS90M,"R. Dr. Faivre, 763 - Centro, Curitiba - PR, 80060-140",Curitiba,PR,+55 41 3086-2941,4.6,446,-25.429793999999998,-49.2606827,,
80060180,7,Restaurante Via Faivre,,ChIJranLxj_k3JQRPKpM19OKQ_k,"R. Dr. Faivre, 259 - Centro, Curitiba - PR, 80060-140",Curitiba,PR,+55 41 3262-1027,4.5,470,-25.4257274,-49.2629587,,
80060180,8,Restaurante da Visconde,https://www.facebook.com/restaurantedavisconde,ChIJmRyMk0Pk3JQRtFdWQ-r4rW0,"Av. Visc. de Guarapuava, 1820 - Centro, Curitiba - PR, 80060-060",Curitiba,PR,+55 41 3264-9817,3.9,11,-25.433128999999997,-49.259727999999996,,
80060180,9,The Five Restaurant,,ChIJwwy8ukHk3JQRAYapQHl_Yd4,"R. Comendador Macedo, 240 - Centro, Curitiba - PR, 80060-030",Curitiba,PR,,,,-25.430731599999998,-49.2619963,,
80060180,10,Restaurante Long Feng,,ChIJk7BtPxXk3JQRa4H8me5_GL4,"R. Amintas de Barros, 63 - Centro, Curitiba - PR, 80060-205",Curitiba,PR,,4.4,95,-25.4276308,-49.2652177,,
80060180,11,"Brangus Pub, Hamburgueria e Restaurante",,ChIJh3973yvl3JQRazNTiJe33S8,"Brangus Prime, R. Mariano Torres, 927 - Centro, Curitiba - PR, 80060-120",Curitiba,PR,+55 41 99506-1826,4.7,92,-25.433978099999997,-49.260782,,
80060180,12,Restaurante Saboroso,,ChIJSXawrkPk3JQR673hd5Oi1EI,"R. Mariano Torres, 906 - Centro, Curitiba - PR, 80060-120",Curitiba,PR,,4.6,212,-25.4342582,-49.2610549,,
80060180,13,Restaurante Don Juan,,ChIJSb0S1Wrk3JQRqCybFKkZB0Q,"R. XV de Novembro, 362 - Centro, Curitiba - PR, 80020-310",Curitiba,PR,+55 41 98856-4257,4.5,2,-25.430828899999998,-49.270305,,
80060180,14,Restaurante vó Rosinha,,ChIJ41vLKUDk3JQRjoKDE0W_-Xk,"R. Conselheiro Laurindo, 421 - Centro, Curitiba - PR, 80060-020",Curitiba,PR,+55 41 3223-6793,4.5,194,-25.4303097,-49.264620099999995,,
80060180,15,Restaurante Manasses,,ChIJ1fLHXU_k3JQRen5c-fqvgrI,"Rua Atílio Bório, 539 Esquina da rua Atílio Bório com a, Av. Sen. Souza Naves - Alto da XV, Curitiba - PR, 80045-030",Curitiba,PR,+55 41 3363-2698,4.5,324,-25.430425,-49.2532381,,
80060180,16,Restaurante Endro,,ChIJT88hwUnl3JQRk8saV4TFRL8,"R. Tibagi, 272 - loja 01 - Centro, Curitiba - PR, 80060-110",Curitiba,PR,+55 41 3324-2027,3.1,129,-25.4295078,-49.2640314,,
80060180,17,Restaurante Du' Costa,,ChIJFYJUxXTl3JQRPJ0-YuC0iW0,"R. XV de Novembro, 2330 - Alto da XV, Curitiba - PR, 80045-270",Curitiba,PR,+55 41 3238-4955,4.5,227,-25.4271826,-49.251654699999996,,
80060180,18,Restaurante di casa 2,,ChIJ_6CcfLbl3JQRSry5_smyq08,"R. Conselheiro Laurindo, 827 - Centro, Curitiba - PR, 80060-100",Curitiba,PR,,,,-25.433982399999998,-49.263137099999994,,
80060180,19,Restaurante Costes,,ChIJ42PBkEPk3JQRFtQVx6puWIw,"BR Paraná Curitiba Centro Rua, Av. Visc. de Guarapuava, 1833, 80060-060",Curitiba,PR,+55 41 3029-3586,4.7,843,-25.433420599999998,-49.2596847,,
80060180,20,H. Pantus Restaurante,,ChIJA3kzM0fk3JQROSUUIha_Nrc,"R. Benjamin Constant, 33 - Centro, Curitiba - PR, 82590-300",Curitiba,PR,,,,-25.428199,-49.2587593,,
80060180,1,AVENIDA XV Restaurante,https://instagram.com/avenida_xv,ChIJw-VYgDfk3JQRQM5LW_8dL-Q,"R. Itupava, 694 - Alto da Glória, Curitiba - PR, 80045-305",Curitiba,PR,+55 41 3503-4060,3.7,7,-25.4225565,-49.2535944,,
