CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
88010000,1,Trattoria Carbone,https://wa.me/+554830540731,ChIJ0cAOoYk5J5URWlxEtiYjphk,"R. Felipe Schmidt, 869 - Centro, Florianópolis - SC, 88010-002",Florianópolis,SC,+55 48 3054-0731,4.4,205,-27.592754199999998,-48.5582694,,
88010000,2,Tascaria,https://www.instagram.com/tascariaoficial,ChIJk5VTwx45J5URW6zY16xEx0s,"R. Hoepcke, 168 - Centro, Florianópolis - SC, 88010-130",Florianópolis,SC,+55 48 99200-0818,4.4,57,-27.593142,-48.558447099999995,,
88010000,3,UNIZUSHI,,ChIJT_ZTyAs5J5URtMB79Le5CFw,"R. Hoepcke, 168 - box 08 - Centro, Florianópolis - SC, 88010-130",Florianópolis,SC,,4.5,24,-27.5931876,-48.5584753,,
88010000,4,Lovster & Beer - Top Market,,ChIJM5BLIxs5J5UR5Y0dYr-1Ck4,"R. Hoepcke, 168 - box 08 - Centro, Florianópolis - SC, 88010-130",Florianópolis,SC,,4.9,11,-27.593086699999997,-48.5584753,,
88010000,5,B.G.B.,,ChIJNX0zMc85J5UR-3BsbKq-5LA,"R. Hoepcke, 168 - Centro, Florianópolis - SC, 88010-130",Florianópolis,SC,,3.1,9,-27.593142,-48.558447099999995,,
88010000,6,Olivia Cucina,https://linktr.ee/oliviacucina,ChIJbVunRxI5J5URkYlg_x1yLK4,"R. Henrique Valgas, 112 - Galpão 02 - Centro, Florianópolis - SC, 88010-282",Florianópolis,SC,+55 48 99194-1808,4.7,953,-27.5950642,-48.5588663,,
88010000,7,Taberna Ibérica,http://www.tabernaiberica.com.br/,ChIJG1E63h84J5UR63AtSGTQj84,"R. Felipe Schmidt, 1333 - Centro, Florianópolis - SC, 88010-002",Florianópolis,SC,+55 48 3225-0913,4.7,1149,-27.5909364,-48.5614454,,
88010000,8,Vitória Bar e Restaurante,,ChIJd7p1TyA4J5URG5uz2ft4xAg,"R. Conselheiro Mafra, 704 - Centro, Florianópolis - SC, 88010-102",Florianópolis,SC,+55 48 3225-0819,4.5,39,-27.5947632,-48.556771999999995,,
88010000,9,Marina Comida Árabe,https://marina-comida-arabe.negocio.site/,ChIJZ0ec0iE4J5URNpso6fT6uFM,"Rua Padre Roma, 319 - Centro, Florianópolis - SC, 88010-090",Florianópolis,SC,,4.5,328,-27.5934797,-48.5561733,,
88010000,10,China In Box Florianópolis,https://www.chinainbox.com.br/,ChIJo5dhnR84J5URCrSSDO4m5yU,"Av. Rio Branco, 197 - CASA - Centro, Florianópolis - SC, 88015-201",Florianópolis,SC,+55 48 99117-1033,4.1,431,-27.5920712,-48.5563833,,
88010000,11,Camarão Carioca Centro,http://www.camaraocarioca.com.br/,ChIJuz2R-_k5J5UR6i-aTTxmt7M,"Av. Rio Branco, nº288 - Centro, Florianópolis - SC, 88015-200",Florianópolis,SC,+55 48 3209-9777,4.1,239,-27.592283499999997,-48.5554519,,
88010000,12,Píer 54 Restaurante,http://pier54.com.br/,ChIJk61sHfY3J5URYDe4bmG5lEc,"Av. Osvaldo Rodrigues Cabral, 1251 - Centro, Florianópolis - SC, 88015-710",Florianópolis,SC,+55 48 99662-6260,4.6,1024,-27.5935234,-48.5627815,,
88010000,13,Dona Delícia Restaurante & Bar,,ChIJA9Y9niE4J5URt5d77T-rETM,"R. Felipe Schmidt, 554 - Centro, Florianópolis - SC, 88010-001",Florianópolis,SC,+55 48 3225-8376,4.5,482,-27.5947075,-48.5548307,,
88010000,14,Restaurante Santo André,,ChIJqzaMWiE4J5URdw7xfr9f9p0,"R. Francisco Tolentino, 382 - Centro, Florianópolis - SC, 88010-200",Florianópolis,SC,+55 48 3225-8320,4.4,142,-27.596363699999998,-48.5541682,,
88010000,15,Dona Delícia Restaurante,,ChIJlT55NSA4J5URnLfoHetQx8E,"Rua Padre Roma, 240 - Centro, Florianópolis - SC, 88010-090",Florianópolis,SC,+55 48 3028-1874,4.5,710,-27.5942214,-48.5563029,,
88010000,16,Bar e Restaurante PIO XII,,ChIJkU-y0SM4J5URzuLpVn7uhiw,"R. Felipe Schmidt, 470 - Centro, Florianópolis - SC, 88010-001",Florianópolis,SC,+55 48 3222-3441,4.5,65,-27.595051299999998,-48.554169699999996,,
88010000,17,Restaurante Alecrim Pimenta,,ChIJy1ZAzSE4J5URU8ar-BCEj-g,"Rua Padre Roma, 313 - Centro, Florianópolis - SC, 88010-090",Florianópolis,SC,+55 48 4009-3828,4.6,631,-27.5935912,-48.5561769,,
88010000,18,Bar e Restaurante Estrela do Oriente,,ChIJzY5Hwh44J5URpUjah8947KI,"R. Esteves Júnior, 711 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 3371-5293,3.7,6,-27.588952,-48.553475,,
88010000,19,Più Bello Galeteria,,ChIJ36lbTbo3J5URQrp088_h90k,"R. Henrique Valgas, 112 - Galpão 01 - Centro, Florianópolis - SC, 88010-282",Florianópolis,SC,+55 48 99194-1808,4.6,119,-27.5950642,-48.5588663,,
88010000,20,Casa Garni Restaurante,https://instagram.com/casa.garni?igshid=xylz4v2fwqba,ChIJuQOgjr05J5URAQ6L3eomXFk,"Rua Padre Roma, 291 - Centro, Florianópolis - SC, 88010-090",Florianópolis,SC,+55 48 98816-7806,4.7,121,-27.593716299999997,-48.5563442,,
88010000,1,Colher de Pau Restaurante,https://www.instagram.com/colherdepauflorianopolis/,ChIJWVBPDyQ4J5URDodoODx-GEo,"R. Jerônimo Coelho, 60 - Box 06 - Centro, Florianópolis - SC, 88010-030",Florianópolis,SC,+55 48 3039-0108,3.5,428,-27.5971992,-48.552688499999995,,
88010000,2,"Deli - Sucos, Saladas, Cafés e Sanduíches",,ChIJRbkkrrc5J5URVCcg2lQdbrw,"R. Felipe Schmidt, 835 - Centro, Florianópolis - SC, 88010-001",Florianópolis,SC,+55 48 99199-7341,4.5,146,-27.5934958,-48.557161199999996,,
88010000,3,Restaurante e Lanchonete Empório B'min,,ChIJrdaMpFM5J5URpdmBm2H3E6Y,"Av. Paulo Fontes, 1101 - Centro, Florianópolis - SC, 88010-278",Florianópolis,SC,+55 48 3222-1239,2.8,30,-27.5971676,-48.558300599999995,,
88010000,4,Du Zeca - Bar e Restaurante,,ChIJgx2xZx84J5URucUnSVG1M6U,"Av. Rio Branco, 313 - Centro, Florianópolis - SC, 88015-201",Florianópolis,SC,+55 48 3211-8132,4.6,870,-27.591967099999998,-48.555137599999995,,
88010000,5,Pizzaria Bel Mangio,http://www.belmangio.com.br/,ChIJgTtuPx44J5URgPLXlCR3bl8,"R. Des. Arno Hoeschl, 269 - Centro, Florianópolis - SC, 88015-620",Florianópolis,SC,+55 48 3025-1040,4.7,1378,-27.589992,-48.5576022,,
88010000,6,Al Amir Comida Árabe,,ChIJQdMSQkA3J5URqzjaLHVQs24,"Al. Annita Hoepcke da Silva - Centro, Florianópolis - SC, 88010-400",Florianópolis,SC,,4.4,30,-27.5946645,-48.5590956,,
88010000,7,Vacuno Carnes Nobres - Armazém Rita Maria,https://www.instagram.com/vacunocarnes/,ChIJCyqgdKg3J5URkzYhXAHDiyU,"Al. Annita Hoepcke da Silva, 112 - Centro, Florianópolis - SC, 88010-282",Florianópolis,SC,+55 48 99913-6440,4,108,-27.5945555,-48.5592957,,
88010000,8,Restaurante Pacheco's,http://instagram.com/restaurante__pachecos?igshid=4hwk17nt490z,ChIJcftA1yM4J5URPa2SwWPV7RY,"R. Pedro Ivo, 241 - Centro, Florianópolis - SC, 88010-070",Florianópolis,SC,+55 48 3028-4568,4.6,157,-27.594778899999998,-48.554569699999995,,
88010000,9,Noir Sushi,https://noirsushi.com.br/,ChIJYW5ptcw3J5URF1a5Ithp8_g,"R. Henrique Valgas - Centro, Florianópolis - SC, 88010-400",Florianópolis,SC,,3.6,36,-27.5946812,-48.559052,,
88010000,10,Família Tagliari Restaurante,http://www.familiatagliari.com.br/,ChIJI7Kvex44J5URPlYsvMrWXGI,"R. Alm. Lamego, 1158 - Centro, Florianópolis - SC, 88015-601",Florianópolis,SC,+55 48 3024-5759,4.5,667,-27.588753999999998,-48.5565304,,
88010000,11,Restaurante Central,https://www.instagram.com/central_floripa/,ChIJ0wxYEiI4J5UROFOSXz-csJs,"R. Esteves Júnior, 242 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 3222-8808,4.6,989,-27.5923122,-48.5527023,,
88010000,12,Porto Restaurante,http://www.portorestaurante.com.br/,ChIJOxNuqxg4J5URECVtmVwTIpM,"Av. Rio Branco, 467 - Centro, Florianópolis - SC, 88015-204",Florianópolis,SC,+55 48 3050-6400,4.2,416,-27.591625399999998,-48.5537992,,
88010000,13,Restaurante Carne Na Brasa,,ChIJO1I2BSA4J5UROcbFRMxF9sQ,"R. Conselheiro Mafra, 495 - Centro, Florianópolis - SC, 88010-100",Florianópolis,SC,+55 48 3223-5095,4.3,505,-27.5958674,-48.5550303,,
88010000,14,Mestre Hu Restaurante,,ChIJaYMNDiE4J5URdyvMHGJeTuk,"R. Conselheiro Mafra, 540 - Centro, Florianópolis - SC, 88010-000",Florianópolis,SC,+55 48 99915-7813,4.3,39,-27.5954551,-48.5552967,,
88010000,15,Restaurante Cota e Carioca da Gema,,ChIJnc8WByE4J5URRfwMbkIxq-w,"R. Conselheiro Mafra, 594 - Centro, Florianópolis - SC, 88010-100",Florianópolis,SC,+55 48 99966-7451,4.6,74,-27.5952766,-48.5557869,,
88010000,16,Estilo Restaurante,,ChIJKfNzBiE4J5UR7jwzyiGlv_I,"R. Conselheiro Mafra, 400 - Centro, Florianópolis - SC, 88010-101",Florianópolis,SC,+55 48 3030-2237,4.6,142,-27.59601,-48.5540223,,
88010000,17,Restaurante Shopping Esteves,https://www.instagram.com/restauranteesteves/,ChIJH-a44H45J5URkv91esg529w,"R. Esteves Júnior, 237 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 3371-2500,4.4,43,-27.5924704,-48.5528894,,
88010000,18,Pirão Restaurante,https://www.instagram.com/pirao.floripa/,ChIJ7ZCFNJ85J5URpTTnrJDmbR0,"Vão Central do Mercado Público de Florianópolis - R. Jerônimo Coelho, 60 - Box 31A - Centro, Florianópolis - SC, 88010-030",Florianópolis,SC,+55 48 99804-2644,1.8,11,-27.5971992,-48.552688499999995,,
88010000,19,Forneria Catarina,http://www.forneriacatarina.com.br/,ChIJYyHBKBk4J5URIsEKSh6ijcI,"R. Esteves Júnior, 604 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 3333-0707,4.8,1581,-27.5890117,-48.5531759,,
88010000,20,Box 32,http://www.box32.com.br/cardapio-1,ChIJF3yeVzs4J5URUAQ_xnF-G18,"Ala Sul - Mercado Público Municipal de Florianó Rua Jerônimo Coelho, 60 Box 04S - Centro, Florianópolis - SC, 88010-030",Florianópolis,SC,+55 48 3037-2661,4.3,2269,-27.5973585,-48.5528188,,
88010000,1,Restaurante Pimenta Rosa,,ChIJ2wgryCM4J5URkAHlBU3o06Q,"R. Álvaro de Carvalho, 341 - Centro, Florianópolis - SC, 88010-040",Florianópolis,SC,,4.5,453,-27.5945149,-48.552518,,
88010000,2,ws restaurante,,ChIJQxXECiI4J5URa_qDBxkwLvQ,"Av. Rio Branco, 570 - Centro, Florianópolis - SC, 88015-200",Florianópolis,SC,+55 48 99967-1680,4.3,12,-27.5917843,-48.5525971,,
88010000,3,Delícias Portuguesas,https://www.instagram.com/delicias.portuguesas/,ChIJIVDRWjs4J5URgjKNVclW6NY,"R. Visc. de Ouro Preto, 559 - Centro, Florianópolis - SC, 88020-040",Florianópolis,SC,+55 48 3224-6448,4.6,591,-27.5922469,-48.5468897,,
88010000,4,Lisboeta by Livorno,https://lisboeta-by-livorno.negocio.site/?utm_source=gmb&utm_medium=referral,ChIJ3wVlVfo5J5URrOXYg7Bea7Y,"Av. Rio Branco, 784 - Centro, Florianópolis - SC, 88015-202",Florianópolis,SC,,4.9,110,-27.591862499999998,-48.550371999999996,,
88010000,5,Restaurante Sobrado,,ChIJ9UYWLiA4J5URwvqR6OBnQNE,"R. Felipe Schmidt, 268 - Centro, Florianópolis - SC, 88010-000",Florianópolis,SC,+55 48 3324-1049,4.7,192,-27.5960631,-48.5525952,,
88010000,6,Restaurante Maria Gourmet,https://instagram.com/mariagourmet.floripa?igshid=MzRlODBiNWFlZA==,ChIJbRbZCyQ4J5UR2KbuIWEqhKQ,"R. Jerônimo Coelho, 95 - Centro, Florianópolis - SC, 88010-030",Florianópolis,SC,+55 48 99149-5350,4.1,197,-27.5966508,-48.552949899999994,,
88010000,7,Restaurante Fortaleza da Ilha,,ChIJCxm_KWk5J5URggpxdRDbJc4,"R. Esteves Júnior, 247 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 99833-9885,4.4,22,-27.5922561,-48.5529021,,
88010000,8,Ponte 100 Lanches,,ChIJ66DwFCA4J5UROkp3x_Li_3I,"133, R. Francisco Tolentino, 1 - Centro, Florianópolis - SC, 88010-095",Florianópolis,SC,+55 48 3222-0039,4.4,913,-27.5945941,-48.557963199999996,,
88010000,9,Restaurante Comer Bem,,ChIJnciSqdc5J5URiPpCTbPyUnw,"R. Felipe Schmidt - Centro, Florianópolis - SC, 88010-400",Florianópolis,SC,+55 48 3204-7797,4.6,570,-27.597014299999998,-48.551382499999995,,
88010000,10,Café Quintal,https://www.instagram.com/cafequintal_/,ChIJ3x6XCko3J5URvfCsuPXL0KQ,"Al. Annita Hoepcke da Silva, 112 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 99194-1808,3.6,21,-27.594611,-48.5592949,,
88010000,11,Macarronada Italiana,http://www.macarronada.com.br/,ChIJ18nBVGBEJ5URdECjfswHxL4,"Av. Jorn. Rubéns de Arruda Ramos, 2458 - Centro, Florianópolis - SC, 88015-702",Florianópolis,SC,+55 48 3223-2666,4.6,4148,-27.584618,-48.5466921,,
88010000,12,Restaurante Villa,,ChIJc-wKjCM4J5URDCUyDM074Ws,"R. Jerônimo Coelho, 180 - Centro, Florianópolis - SC, 88010-030",Florianópolis,SC,+55 48 3025-7079,4.7,41,-27.5960173,-48.5522522,,
88010000,13,TERRAÇO BELLA LUNA,https://restaurants.accor.com/pt-br/restaurant-0701_R001-terraco-bella-luna-florianopolis.shtml,ChIJ2-UD3h84J5URJUbyi0ZmtGE,"R. Felipe Schmidt, 1102 - Centro, Florianópolis - SC, 88010-002",Florianópolis,SC,,4,4,-27.5917563,-48.5592565,,
88010000,14,Restaurante Porto da Ilha,,ChIJc5UMPsk5J5UR-O1x4RaPYXk,"R. Dom Jaime Câmara, 43 - Centro, Florianópolis - SC, 88015-120",Florianópolis,SC,+55 48 3229-3000,4.6,14,-27.592475999999998,-48.5519877,,
88010000,15,Porto Restaurante,http://www.portorestaurante.com.br/,ChIJ_fFtS5k5J5URwGVwpJTRxAA,"R. Bocaiúva, 1528 - Centro, Florianópolis - SC, 88015-530",Florianópolis,SC,+55 48 3091-2523,4.2,58,-27.587612999999997,-48.55312,,
88010000,16,Central Restaurante,http://centralrestaurante.com.br/,ChIJq1AbeyM4J5URgfZuGknD10U,"R. Vidal Ramos, 174 - Centro, Florianópolis - SC, 88010-320",Florianópolis,SC,+55 48 3222-9541,4.5,590,-27.5951471,-48.5507948,,
88010000,17,Restaurante Forno Milano,http://fornomilano.com.br/,ChIJox5AJRc4J5URm6A8yYmVakI,"R. Esteves Júnior, 546 - Centro, Florianópolis - SC, 88015-130",Florianópolis,SC,+55 48 3307-9316,4.5,912,-27.589560499999997,-48.5527862,,
88010000,18,Restaurante Kaffa,http://www.restaurantekaffa.com.br/,ChIJWRHGIRc4J5URXnrOYmKFjVc,"R. Rafael Bandeira, 337 - Centro, Florianópolis - SC, 88015-450",Florianópolis,SC,+55 48 3223-4327,4.6,1029,-27.5858024,-48.5466431,,
88010000,19,Restaurante Zezo's,,ChIJr2gywyI4J5UREYSR-dlcG38,"R. Dom Jaime Câmara, 282 - Centro, Florianópolis - SC, 88015-120",Florianópolis,SC,+55 48 3222-1829,4.5,163,-27.592460799999998,-48.5500553,,
88010000,20,Magnolia Restaurante,,ChIJV066iiQ4J5URtK2czh6ov88,"R. Felipe Schmidt, 107 - Centro, Florianópolis - SC, 88010-000",Florianópolis,SC,+55 48 3025-6327,4.6,225,-27.5971038,-48.5512788,,
88010000,2,Restaurante Kanimambo,,ChIJvQxF-iI4J5URvTKWp_F19SA,"R. Antônio Dib Mussi, 443 - Centro, Florianópolis - SC, 88015-110",Florianópolis,SC,+55 48 3228-3400,4.7,621,-27.592832299999998,-48.5509722,,
88010000,3,Restaurante Paladar,,ChIJ7WEabiM4J5URKPWwK5on2Us,"R. Deodoro, 191 - Sala 1 - Centro, Florianópolis - SC, 88010-020",Florianópolis,SC,+55 48 3222-2060,4.5,181,-27.596319899999997,-48.551597,,
88010000,4,Restaurante Apolo,,ChIJs2k4gSM4J5UR_IQNlAzQvoM,"R. Ten. Silveira, 199 - Centro, Florianópolis - SC, 88010-300",Florianópolis,SC,+55 48 3222-3323,4.3,293,-27.5958188,-48.5514904,,
88010000,5,Franz Cabaret,https://www.franzcabaret.com/,ChIJpaU53V05J5URgmSCM5eWj2U,"R. Cristóvão Nunes Píres, 84 - Centro, Florianópolis - SC, 88010-120",Florianópolis,SC,+55 48 99111-0928,4.7,379,-27.5942941,-48.5586664,,
88010000,6,Shopping Comida Árabe - Café & Restaurante,,ChIJm23e2YU5J5UROv7nWgdX4YE,"R. Sete de Setembro, 165 - Centro, Florianópolis - SC, 88010-060",Florianópolis,SC,,4.4,94,-27.595452299999998,-48.554447499999995,,
88010000,7,Gastromix Bem Caseiro,,ChIJp81LYiM4J5URaMZVd9sCQwI,"R. Antônio Dib Mussi, 367 - Centro, Florianópolis - SC, 88015-030",Florianópolis,SC,+55 48 3322-1024,3.8,61,-27.5927369,-48.5517697,,
88010000,8,Lanchonete e Restaurante Felipe Schmidt,,ChIJ4dwJHWk5J5URzK31ni-wDr0,"R. Felipe Schmidt, 379 - Centro, Florianópolis - SC, 88010-001",Florianópolis,SC,+55 48 3085-0001,4.5,10,-27.5956798,-48.5536464,,
88010000,9,Art Gourmet Restaurante,,ChIJlYXkviI4J5URGyY5s1MJ6gk,"Av. Rio Branco, 847 - Centro, Florianópolis - SC, 88015-200",Florianópolis,SC,+55 48 3206-0254,4.6,2269,-27.591499,-48.5497855,,
88010000,10,Caçarola Grill Restaurante,,ChIJT7HChCQ4J5URUxG9xBhCbSw,"R. Ten. Silveira, 106 - Centro, Florianópolis - SC, 88010-300",Florianópolis,SC,+55 48 3028-3200,4.5,177,-27.59612,-48.5505899,,
88010000,11,Mirantes,http://www.mirantes.com.br/,ChIJNdDvcSM4J5UR-PRj9mB0xe0,"Av. Pref. Osmar Cunha, 39 - Centro, Florianópolis - SC, 88015-100",Florianópolis,SC,+55 48 3228-5657,4.4,299,-27.5950509,-48.5507097,,
88010000,12,Família Sens,https://www.ifood.com.br/delivery/florianopolis-sc/restaurante-e-cafe-familia-sens-centro/68f784a6-612c-4cd8-ba35-f8a22e33d106,ChIJCa3ZKxI5J5URSOMHkLD_BRY,"Praça XV de Novembro, 320 - Centro, Florianópolis - SC, 88010-560",Florianópolis,SC,+55 48 99118-9111,4.7,560,-27.5973649,-48.5488388,,
88010000,13,Vidal Restaurante e Lanchonete,,ChIJv8C4vCQ4J5UR4JCYzK-DaAw,"R. Vidal Ramos, 14 - Centro, Florianópolis - SC, 88010-320",Florianópolis,SC,,4.8,4,-27.595906199999998,-48.549441599999994,,
