CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude
1045912,1,Lanchonete E Restaurante Imperador,,ChIJazg-P_5ZzpQREkNTUCSiK-4,"Av. São João, 850 - Centro Histórico de São Paulo, São Paulo - SP, 01036-100",São Paulo,SP,+55 11 98186-5940,4.3,202,-23.541332999999998,-46.641784799999996
1045912,2,Restaurante Dom Gourmet SP,http://restaurantedomgourmet.com/,ChIJp3USeU9YzpQRV-H383u6zuM,"R. Aurora, 890 - República, São Paulo - SP, 01209-001",São Paulo,SP,+55 11 3333-5690,4.6,497,-23.5423772,-46.6442623
1045912,3,O Gato Que Ri,http://www.ogatoqueri.com.br/,ChIJ69t2yUVYzpQRoT6Ye8eQC_o,"Largo do Arouche, 37/41 - República, São Paulo - SP, 01219-011",São Paulo,SP,+55 11 3331-0089,4.5,6131,-23.5413951,-46.644675199999995
1045912,4,Biyou'Z Gastronomia Africana,https://biyouzrestauranteafricano.com.br/,ChIJ40CGE0VYzpQRe_eVWgng4MU,"Alameda Barão de Limeira, 19 - Campos Elíseos, São Paulo - SP, 01202-001",São Paulo,SP,+55 11 3221-6806,4.6,1439,-23.540272299999998,-46.6431415
1045912,5,Bar e Restaurante da Cidade Xangô,https://lanchonete-e-restaurante-da-cidade.negocio.site/,ChIJUU_gIE9YzpQRRAEzOQ5ZerM,"Rua Gen. Jardim - República, São Paulo - SP, 01223-010",São Paulo,SP,+55 11 3151-2070,4.3,924,-23.5445884,-46.6453327
1045912,6,Restaurante Giovanni,,ChIJI4suH1BYzpQR2IBUDnPBf1Y,"R. dos Timbiras, 607 - Santa Ifigênia, São Paulo - SP, 01208-010",São Paulo,SP,+55 11 3337-0750,4.3,10,-23.5420894,-46.6412933
1045912,7,A Casa do Porco Bar,https://acasadoporco.com.br/o-restaurante/,ChIJK76a5E5YzpQRCoY7nm1M3-k,"R. Araújo, 124 - República, São Paulo - SP, 01220-020",São Paulo,SP,+55 11 3258-2578,4.5,13973,-23.544913599999997,-46.644733599999995
1045912,8,Terraço Itália,http://www.terracoitalia.com.br/,ChIJz36TCeJZzpQR4vkgCNah0Dw,"Av. Ipiranga, 344 - 41º andar - República, São Paulo - SP, 01046-010",São Paulo,SP,+55 11 2189-2929,4.6,11355,-23.5455222,-46.643738899999995
1045912,9,Sampa bar & restaurante,,ChIJdeZWSFBYzpQR7C1JbcoZymo,"Av. São João, 639 - República, São Paulo - SP, 01035-000",São Paulo,SP,+55 11 3337-4470,4.3,311,-23.5425613,-46.6402274
1045912,10,Sujinho Centro da Cidade,http://www.sujinho.com.br/,ChIJI8pfklBYzpQRFi10GAy2U4o,"Av. Ipiranga, 1068 - República, São Paulo - SP, 01040-000",São Paulo,SP,+55 11 3154-5207,4.4,5927,-23.5411491,-46.6384514
1045912,11,Restaurante Esquina da 7,https://restauranteesquina7.my.canva.site/,ChIJj3DnHE5YzpQR2t-OZzFfsZM,"R. Sete de Abril, 298 - Centro Histórico de São Paulo, São Paulo - SP, 01044-000",São Paulo,SP,+55 11 94050-4224,4.3,805,-23.5452704,-46.641749
1045912,12,La Casserole,http://www.lacasserole.com.br/,ChIJTXcW6EVYzpQRmnvvFlqPkO4,"Largo do Arouche, 346 - República, São Paulo - SP, 01219-010",São Paulo,SP,+55 11 3331-6283,4.5,1437,-23.5410792,-46.645702199999995
1045912,13,Restaurante Estrela da São João,,ChIJT0zNVVFYzpQRSVcLAuBZXww,"Av. São João, 304 - Centro Histórico de São Paulo, São Paulo - SP, 01036-000",São Paulo,SP,+55 11 3333-1789,4.3,422,-23.5436794,-46.6371606
1045912,14,Satuuba Restaurante,,ChIJ26ZKoDNZzpQRZ6gy9yYWip8,"R. Conselheiro Nébias, 99 - Campos Elíseos, São Paulo - SP, 01203-001",São Paulo,SP,+55 11 97835-3509,,,-23.541376399999997,-46.641255099999995
1045912,15,Restaurante Terraço Xavier,,ChIJ9duZXVJYzpQROdkzXzlnaoo,"R. Cel. Xavier de Toledo, 226 - Centro Histórico de São Paulo, São Paulo - SP, 01048-000",São Paulo,SP,+55 11 3258-8999,4.3,413,-23.5473608,-46.6404396
1045912,16,Restaurante Elenice,,ChIJJQAyKklYzpQRXsxui8I30-c,"R. Rego Freitas, 388 - República, São Paulo - SP, 01220-010",São Paulo,SP,+55 11 3255-2803,4.3,159,-23.5453577,-46.6467332
1045912,17,WS Socorro. Restaurante,,ChIJl-qey0VYzpQRzqr_NgIETN0,"Largo do Arouche, 248 - Centro Histórico de São Paulo, São Paulo - SP, 01210-001",São Paulo,SP,+55 11 97702-4817,4.8,42,-23.5402786,-46.645507099999996
1045912,18,Restaurante Alcazar,,ChIJE1_BcClZzpQRitm8ei5C4AM,"R. Basílio da Gama, 101 - República, São Paulo - SP, 01046-020",São Paulo,SP,+55 11 3155-0053,4.7,25,-23.545294199999997,-46.642498499999995
1045912,19,Solar da República,https://www.solardarepublica.com.br/,ChIJSXRjOE9YzpQRf9t4TaFRz_E,"R. Marquês de Itu, 134 - Vila Buarque, São Paulo - SP, 01223-000",São Paulo,SP,+55 11 3222-5402,4.3,832,-23.5437725,-46.6456683
1045912,20,Restaurante Nova Municipal,,ChIJi8tDOlJYzpQRVD3Zi62UgWU,"R. Conselheiro Crispiniano, 108-120 - República, São Paulo - SP, 01037-000",São Paulo,SP,+55 11 3159-0753,4.7,19,-23.5461641,-46.6399854
1045912,1,Restaurante Central,,ChIJu2lFUlJYzpQRjksb6l1ybJ4,"R. Cel. Xavier de Toledo, 117 - República, São Paulo - SP, 01048-100",São Paulo,SP,+55 11 3214-2401,4.4,593,-23.54701,-46.6393524
1045912,2,Restaurante do Meio,,ChIJW1LkNkdYzpQRT-EjOmbXgII,"Largo Santa Cecília, 77 - Santa Cecilia, São Paulo - SP, 01225-010",São Paulo,SP,+55 11 3225-9751,4.2,217,-23.5396701,-46.6497831
1045912,3,Planeta's Restaurante,http://www.planetas-sp.com.br/,ChIJ9WTlBUxYzpQRSkWsgDWJtzQ,"Rua Martinho Prado, 212 - Bela Vista, São Paulo - SP, 01306-040",São Paulo,SP,+55 11 3256-5330,4.6,2343,-23.5500416,-46.6459797
1045912,4,Restaurante Peruano Arequipa,,ChIJi5dwulpYzpQRWPtNd8M-s24,"R. Guaianazes, 134 - Campos Elíseos, São Paulo - SP, 01204-000",São Paulo,SP,+55 11 3361-4927,4.2,124,-23.5400836,-46.6409009
1045912,5,Izuglo Restaurant & Bar,,ChIJK8WCRtdZzpQRGSW7ayn8h1A,"R. Conselheiro Nébias, 255 - Campos Elíseos, São Paulo - SP, 01203-000",São Paulo,SP,+55 11 97750-3798,5,2,-23.5402241,-46.6421602
1045912,6,Shalom Restaurante,,ChIJRcqDiFBYzpQRkAjJYISOPvc,"Av. Rio Branco, 228 - Centro Histórico de São Paulo, São Paulo - SP, 01206-000",São Paulo,SP,+55 11 3222-0088,4.4,19,-23.540683899999998,-46.6390629
